5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/09/2015 00:00	74.8	71	67.4	62.8	69.6	4	100
11/09/2015 00:05	74.5	70.9	69.4	61.9	69.9	4	100
11/09/2015 00:10	74.3	70.6	71.6	63.3	70.5	4	100
11/09/2015 00:15	74.7	71	67.2	62.7	69	4	100
11/09/2015 00:20	75.2	70.9	70.4	63.1	70.2	4	100
11/09/2015 00:25	75.3	69.8	62.9	62.1	67.9	4	100
11/09/2015 00:30	75.1	70.2	64.7	61.6	68.2	4	100
11/09/2015 00:35	75.2	70.1	66.3	61.5	68.6	4	100
11/09/2015 00:40	74.9	70.6	68	62.7	69.6	4	100
11/09/2015 00:45	74.8	70.4	65.7	62.5	69	4	100
11/09/2015 00:50	75	70.9	68.8	61.7	69.7	4	100
11/09/2015 00:55	74.9	71	69	62.4	70	4	100
11/09/2015 01:00	75	70.8	72.5	62.4	71.2	4	100
11/09/2015 01:05	74.7	70.9	75.9	63.2	72	4	100
11/09/2015 01:10	74.9	70.7	74.2	62.1	70.8	4	100
11/09/2015 01:15	75	70.9	72.3	63.2	70.4	4	100
11/09/2015 01:20	74.9	70.6	67.7	63.8	69.2	4	100
11/09/2015 01:25	74.7	71	67.9	61.6	68.9	4	100
11/09/2015 01:30	74.6	71.4	69.3	62.5	69.2	4	100
11/09/2015 01:35	74.7	71.1	70.8	62.7	70.7	4	100
11/09/2015 01:40	74.7	71.1	70.3	62.3	69.2	4	100
11/09/2015 01:45	74.7	70.9	67.8	62.3	68.6	4	100
11/09/2015 01:50	74.6	70.8	67.6	62.6	69.1	4	100
11/09/2015 01:55	74.8	70.1	68.8	59	67.8	4	100
11/09/2015 02:00	74.7	70.7	68.3	57.8	68.1	4	100
11/09/2015 02:05	74.5	70.8	68.9	60.2	69.1	4	100
11/09/2015 02:10	74.8	70.8	69.2	60.7	69.7	4	100
11/09/2015 02:15	74.8	71	69.6	61.6	69.4	4	100
11/09/2015 02:20	74.9	71.2	68.3	62.1	69.2	4	100
11/09/2015 02:25	74.9	71.1	69.2	62.9	69.1	4	100
11/09/2015 02:30	74.8	71.1	68.2	62	69.5	4	100
11/09/2015 02:35	74.8	71.1	67.1	61.8	67.1	4	100
11/09/2015 02:40	74.6	71.2	68.7	62.8	69.1	4	100
11/09/2015 02:45	74.7	70.8	69	62.5	69.2	4	100
11/09/2015 02:50	74.7	70.9	69.2	63.2	68.8	4	100
11/09/2015 02:55	74.8	70.9	68.8	61.9	68.4	4	100
11/09/2015 03:00	74.5	71.1	68.4	62.3	68.2	4	100
11/09/2015 03:05	74.7	71.1	68.2	63.2	68.8	4	100
11/09/2015 03:10	74.7	71	67.6	62.9	68	4	100
11/09/2015 03:15	74.8	71	68	61.4	68.3	4	100
11/09/2015 03:20	74.7	70.9	67.3	62.1	68.2	4	100
11/09/2015 03:25	74.6	71.1	66.3	62.1	68.2	4	100
11/09/2015 03:30	74.8	71.1	67.1	62.7	68.5	4	100
11/09/2015 03:35	74.7	71.2	68	63	69.9	4	100
11/09/2015 03:40	74.8	70.9	68.5	61.8	68.2	4	100
11/09/2015 03:45	74.8	70.9	65.9	62.5	67.8	4	100
11/09/2015 03:50	74.7	71	62.6	61.6	66.6	4	100
11/09/2015 03:55	74.8	70.7	62.1	61.1	66.5	4	100
11/09/2015 04:00	74.9	70.1	64.6	60.7	67.2	4	100
11/09/2015 04:05	74.9	70.6	61.4	61.1	68	4	100
11/09/2015 04:10	74.8	70.8	61.8	61.1	67	4	100
11/09/2015 04:15	74.8	70.6	64.8	61	68	4	100
11/09/2015 04:20	74.8	70.6	64	62.2	67.8	4	100
11/09/2015 04:25	74.9	70.7	61.9	61.3	67	4	100
11/09/2015 04:30	74.9	70.4	66.3	59.5	68.5	4	100
11/09/2015 04:35	74.5	70.2	72.1	59.8	69.8	4	100
11/09/2015 04:40	74.6	69.9	73.4	55.1	70	4	100
11/09/2015 04:45	74.9	70.7	75	60.2	71.4	4	100
11/09/2015 04:50	74.8	70.9	69.8	61	69.8	4	100
11/09/2015 04:55	74.1	70.8	72.3	62.8	71	4	100
11/09/2015 05:00	73.8	70.5	67.7	64.2	69.6	4	100
11/09/2015 05:05	74.9	70.5	71	63.8	71.2	4	100
11/09/2015 05:10	74.1	69.5	65.7	60.5	68.7	4	100
11/09/2015 05:15	74.7	68.7	61.1	62.2	67.7	4	100
11/09/2015 05:20	73.3	69.4	59.7	62.9	67	4	100
11/09/2015 05:25	73.8	70	65.6	63.8	69.4	4	100
11/09/2015 05:30	73.1	70.6	66.7	66.8	69.9	4	100
11/09/2015 05:35	71.7	67.7	59.3	64.4	67.1	4	100
11/09/2015 05:40	73.2	68.1	63	67	68.5	4	100
11/09/2015 05:45	73.3	69.3	67.6	62.7	69.6	4	100
