5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/02/2015 00:00	.48	2.33	2.47	2.71	2	4	75
11/02/2015 00:05	.42	2.82	2.57	3.29	2.27	4	75
11/02/2015 00:10	.52	2.42	3.18	2.85	2.24	4	75
11/02/2015 00:15	.07	3.11	3.43	3.64	2.56	4	75
11/02/2015 00:20	.16	2.01	2.44	2.59	1.8	4	75
11/02/2015 00:25	0	1.28	1.71	1.47	1.11	4	75
11/02/2015 00:30	.24	2.07	2.8	2.4	1.88	4	75
11/02/2015 00:35	.38	1.9	1.79	2.76	1.71	4	75
11/02/2015 00:40	.13	2.14	2.52	2.49	1.82	4	75
11/02/2015 00:45	0	1.46	1.4	1.69	1.14	4	75
11/02/2015 00:50	.09	1.63	1.97	1.89	1.4	4	75
11/02/2015 00:55	.14	1.79	1.75	2.2	1.47	4	75
11/02/2015 01:00	.06	1.82	2.04	2.19	1.53	4	75
11/02/2015 01:05	.08	1.7	1.59	1.97	1.34	4	75
11/02/2015 01:10	.17	1.04	1.26	1.19	.92	4	75
11/02/2015 01:15	3.55	1.47	1.15	1.75	1.98	4	75
11/02/2015 01:20	.67	1.25	1.18	1.44	1.14	4	75
11/02/2015 01:25	.13	1.08	.86	2.06	1.03	4	75
11/02/2015 01:30	0	.8	.93	1.23	.74	4	75
11/02/2015 01:35	0	1.13	1.3	2.16	1.15	4	75
11/02/2015 01:40	.06	1.1	1.18	1.26	.9	4	75
11/02/2015 01:45	0	1.21	1.49	1.39	1.02	4	75
11/02/2015 01:50	0	1.25	1.05	1.64	.99	4	75
11/02/2015 01:55	0	.89	.89	1.01	.7	4	75
11/02/2015 02:00	.14	1.07	1.02	1.23	.86	4	75
11/02/2015 02:05	.13	1.42	1.68	2.08	1.33	4	75
11/02/2015 02:10	0	.86	.74	1.19	.7	4	75
11/02/2015 02:15	0	1.2	1.18	1.38	.94	4	75
11/02/2015 02:20	.07	.92	1.08	1.05	.78	4	75
11/02/2015 02:25	0	.8	1.15	.9	.71	4	75
11/02/2015 02:30	0	.97	1.06	1.11	.79	4	75
11/02/2015 02:35	0	.7	.81	1.9	.85	4	75
11/02/2015 02:40	0	.92	.75	1.19	.72	4	75
11/02/2015 02:45	.07	.61	.61	15.94	4.31	4	75
11/02/2015 02:50	0	.71	.8	1.02	.63	4	75
11/02/2015 02:55	0	.91	.68	1.22	.7	4	75
11/02/2015 03:00	0	1.11	1.14	1.8	1.01	4	75
11/02/2015 03:05	0	1.26	1.39	1.93	1.15	4	75
11/02/2015 03:10	0	.72	.88	1.34	.74	4	75
11/02/2015 03:15	.06	1.23	1.72	1.41	1.1	4	75
11/02/2015 03:20	.06	.98	1.62	2.21	1.22	4	75
11/02/2015 03:25	.08	1.25	1.16	1.89	1.1	4	75
11/02/2015 03:30	0	1.16	1.33	2.11	1.15	4	75
11/02/2015 03:35	0	.82	1.22	1.55	.9	4	75
11/02/2015 03:40	0	1.34	1.36	2.14	1.21	4	75
11/02/2015 03:45	.13	1.52	1.64	1.94	1.31	4	75
11/02/2015 03:50	0	1.04	1.5	1.86	1.1	4	75
11/02/2015 03:55	.06	1.87	2.09	2.17	1.55	4	75
