5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/09/2015 00:00	81.5	78.6	76.9	67.6	66.8	74.8	5	0
11/09/2015 00:05	78.4	75.6	73.6	64.7	64.3	71.9	5	0
11/09/2015 00:10	79.5	76.8	75	65.8	65.3	73	5	0
11/09/2015 00:15	79.7	76.8	74.9	65.9	65.3	73.2	5	0
11/09/2015 00:20	81	78.1	76.4	67.1	66.4	74.4	5	0
11/09/2015 00:25	82	79	77.4	68	67.1	75.4	5	0
11/09/2015 00:30	82.6	79.7	78.3	68.7	67.7	76	5	0
11/09/2015 00:35	81.5	78.7	77.1	67.6	66.8	75.1	5	0
11/09/2015 00:40	80.4	77.7	75.9	66.6	66	73.9	5	0
11/09/2015 00:45	81.8	78.9	77.3	67.9	67.1	75.2	5	0
11/09/2015 00:50	80.5	77.6	75.8	66.6	66	74.1	5	0
11/09/2015 00:55	82	79	77.4	68	67.2	75.4	5	0
11/09/2015 01:00	80	77.2	75.4	66.2	65.6	73.6	5	0
11/09/2015 01:05	79.8	77	75.1	66	65.4	73.6	5	0
11/09/2015 01:10	80.8	77.9	76.1	66.9	66.2	74.2	5	0
11/09/2015 01:15	79.6	76.9	75.1	65.9	65.3	73.5	5	0
11/09/2015 01:20	80.6	77.9	76.2	66.8	66.1	74.3	5	0
11/09/2015 01:25	81	78.2	76.5	67.1	66.4	75	5	0
11/09/2015 01:30	81.2	78.4	76.8	67.4	66.6	74.7	5	0
11/09/2015 01:35	80.5	77.8	76.1	66.7	66	74.5	5	0
11/09/2015 01:40	80.6	77.9	76.2	66.8	66.1	74.2	5	0
11/09/2015 01:45	79.7	77	75.1	65.9	65.3	73.8	5	0
11/09/2015 01:50	80.3	77.5	75.8	66.5	65.8	73.8	5	0
11/09/2015 01:55	81.1	78.3	76.7	67.2	66.5	74.5	5	0
11/09/2015 02:00	79.1	76.4	74.5	65.4	64.9	73.4	5	0
11/09/2015 02:05	80.8	78	76.3	66.9	66.2	74.5	5	0
11/09/2015 02:10	80.4	77.7	76	66.6	66	74.1	5	0
11/09/2015 02:15	80.5	77.6	75.8	66.6	65.9	74.3	5	0
11/09/2015 02:20	79.5	76.8	74.9	65.7	65.2	73.3	5	0
11/09/2015 02:25	79.9	77.2	75.4	66.1	65.5	73.3	5	0
11/09/2015 02:30	80	77.3	75.5	66.3	65.7	73.7	5	0
11/09/2015 02:35	80.9	78.1	76.5	67.1	66.4	74.6	5	0
11/09/2015 02:40	81.3	78.3	76.6	67.3	66.6	74.8	5	0
11/09/2015 02:45	81.2	78.4	76.8	67.4	66.6	74.9	5	0
11/09/2015 02:50	81.6	78.7	77.1	67.7	66.9	75.2	5	0
11/09/2015 02:55	81.6	78.7	77.2	67.7	66.9	75.1	5	0
11/09/2015 03:00	81.6	78.6	77	67.6	66.8	74.9	5	0
11/09/2015 03:05	81.7	78.7	77.1	67.8	67	75.4	5	0
11/09/2015 03:10	82.8	79.8	78.5	68.9	67.9	76.2	5	0
11/09/2015 03:15	81	78	76.3	67.1	66.4	74.3	5	0
11/09/2015 03:20	81.5	78.7	77	67.6	66.8	74.9	5	0
11/09/2015 03:25	82.3	79.4	77.9	68.4	67.5	76.1	5	0
11/09/2015 03:30	81.7	78.9	77.3	67.8	67	75.6	5	0
11/09/2015 03:35	81.2	78.2	76.6	67.3	66.5	74.9	5	0
11/09/2015 03:40	79.9	77.2	75.4	66.1	65.5	73.6	5	0
11/09/2015 03:45	75.1	72.7	70.2	61.6	61.6	69	5	0
11/09/2015 03:50	78.2	75.6	73.5	64.5	64.1	71.7	5	0
11/09/2015 03:55	78.8	76.2	74.2	65.2	64.8	72.6	5	0
11/09/2015 04:00	79	76.3	74.4	65.3	64.9	72.5	5	0
11/09/2015 04:05	82.2	79.4	77.9	68.3	67.5	75.7	5	0
11/09/2015 04:10	82.7	79.7	78.3	68.8	67.8	76	5	0
11/09/2015 04:15	79.6	76.7	74.8	65.7	65.1	73	5	0
11/09/2015 04:20	75.4	72.7	70.3	61.9	61.9	68.9	5	0
11/09/2015 04:25	79.5	76.6	74.7	65.7	65.1	72.9	5	0
11/09/2015 04:30	79.9	77	75.2	66.1	65.4	73.3	5	0
11/09/2015 04:35	81.7	78.7	77.2	67.7	66.9	75	5	0
11/09/2015 04:40	81.5	78.5	76.9	67.6	66.8	74.8	5	0
11/09/2015 04:45	81.6	78.6	77	67.7	66.9	76.3	5	0
11/09/2015 04:50	75.3	72.9	70.4	61.9	61.9	69.1	5	0
11/09/2015 04:55	77.5	74.7	72.5	63.8	63.5	70.9	5	0
11/09/2015 05:00	80	77.3	75.5	66.2	65.6	73.5	5	0
11/09/2015 05:05	78.3	75.7	73.6	64.7	64.3	71.9	5	0
11/09/2015 05:10	79.1	76.2	74.3	65.3	64.7	72.5	5	0
11/09/2015 05:15	82.2	79.1	77.6	68.1	67.2	75.5	5	0
11/09/2015 05:20	81.8	78.7	77.1	67.7	66.9	75.1	5	0
11/09/2015 05:25	80.8	78	76.3	67	66.3	74.3	5	0
11/09/2015 05:30	78.2	75.4	73.3	64.5	64.1	71.7	5	0
11/09/2015 05:35	79	76.2	74.2	65.3	64.8	72.5	5	0
11/09/2015 05:40	78.8	76	74	65.1	64.6	72.3	5	0
11/09/2015 05:45	79.5	76.6	74.7	65.7	65.2	73	5	0
11/09/2015 05:50	80.5	77.5	75.7	66.6	65.9	73.9	5	0
11/09/2015 05:55	78.7	75.9	73.9	65	64.5	72.2	5	0
11/09/2015 06:00	78.7	75.9	73.8	64.9	64.5	72.2	5	0
11/09/2015 06:05	78.4	75.6	73.6	64.7	64.3	71.9	5	0
11/09/2015 06:10	77.9	75.1	73	64.2	63.9	71.4	5	0
11/09/2015 06:15	77.9	75.3	73.3	64.3	63.9	71.6	5	0
11/09/2015 06:20	78	75.2	73.1	64.3	63.9	71.5	5	0
11/09/2015 06:25	79.5	76.7	74.8	65.8	65.2	73	5	0
11/09/2015 06:30	79.8	77.1	75.3	66	65.4	73.3	5	0
11/09/2015 06:35	80.9	77.9	76.3	67	66.2	74.3	5	0
11/09/2015 06:40	79.5	76.7	74.9	65.7	65.2	73	5	0
11/09/2015 06:45	82.7	79.8	78.4	68.7	67.8	76.1	5	0
11/09/2015 06:50	80.6	77.9	76.2	66.8	66.2	74.2	5	0
11/09/2015 06:55	80.4	77.7	76	66.7	66	74	5	0
11/09/2015 07:00	79.1	76.4	74.5	65.4	64.9	72.7	5	0
11/09/2015 07:05	80.4	77.6	75.9	66.6	65.9	73.9	5	0
11/09/2015 07:10	81.4	78.6	77	67.6	66.8	74.9	5	0
11/09/2015 07:15	81.6	78.7	77.1	67.7	66.9	75	5	0
11/09/2015 07:20	79	76.3	74.4	65.3	64.8	72.6	5	0
11/09/2015 07:25	77.6	75	72.9	64	63.7	71.3	5	0
