5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Lane 6 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/09/2015 00:00	2.42	1.99	1.17	1.84	.47	3.49	1.9	6	83
11/09/2015 00:05	2.48	1.8	1	1.34	.35	3.41	1.73	6	83
11/09/2015 00:10	2.5	2.22	1.13	1.68	.17	3.54	1.87	6	83
11/09/2015 00:15	2.03	2.12	1.22	1.08	.06	3.45	1.66	6	83
11/09/2015 00:20	2.07	1.86	.91	1.12	.2	3.29	1.57	6	83
11/09/2015 00:25	2.51	1.65	1.24	.82	.26	3.31	1.63	6	83
11/09/2015 00:30	3.07	1.99	1.18	1.22	.33	3.41	1.87	6	83
11/09/2015 00:35	1.29	1.89	.95	.75	.11	3.2	1.37	6	83
11/09/2015 00:40	1.46	1.61	.84	.51	.4	3.2	1.34	6	83
11/09/2015 00:45	1.48	1.75	.88	.75	.44	3.17	1.41	6	83
11/09/2015 00:50	1.24	.99	1.03	1.2	.26	3.21	1.32	6	83
11/09/2015 00:55	1.7	1.46	.95	.46	.22	3.17	1.33	6	83
11/09/2015 01:00	.75	.83	.87	.87	.76	.53	.77	6	0
11/09/2015 01:05	.74	.82	.86	.86	.75	.52	.76	6	0
11/09/2015 01:10	.73	.81	.85	.85	.74	.51	.75	6	0
11/09/2015 01:15	.76	.87	.83	.68	0	3.11	1.04	6	83
11/09/2015 01:20	1.06	.93	.28	.83	0	3.02	1.02	6	83
11/09/2015 01:25	1.21	1.17	.57	.53	.1	3.07	1.11	6	83
11/09/2015 01:30	1.02	.81	.64	.44	.31	3	1.04	6	83
11/09/2015 01:35	.89	.8	.5	1.08	.09	2.91	1.05	6	83
11/09/2015 01:40	1	1.49	.6	1.11	.65	3.19	1.34	6	83
11/09/2015 01:45	.79	1.19	.6	.88	.18	3.03	1.11	6	83
11/09/2015 01:50	.82	.43	.44	.18	.17	2.9	.82	6	83
11/09/2015 01:55	1.25	1.19	.56	.4	.13	2.97	1.08	6	83
11/09/2015 02:00	.65	.6	.39	.96	.3	2.87	.96	6	83
11/09/2015 02:05	.74	.8	.57	1.48	.14	2.96	1.12	6	83
11/09/2015 02:10	.61	.87	.35	.65	.04	2.85	.89	6	83
11/09/2015 02:15	.42	.86	.5	2.13	.71	2.93	1.26	6	83
11/09/2015 02:20	.44	.72	.41	.4	.16	2.88	.84	6	83
11/09/2015 02:25	1.06	.98	.28	.71	.21	2.82	1.01	6	83
11/09/2015 02:30	.32	.73	.46	.94	.23	2.89	.93	6	83
11/09/2015 02:35	.47	.6	.51	.31	0	2.93	.8	6	83
11/09/2015 02:40	.58	.99	.63	1.75	.21	3	1.19	6	83
11/09/2015 02:45	.7	.68	.65	.21	.32	2.75	.89	6	83
11/09/2015 02:50	1.02	1.05	.52	.53	.21	2.87	1.03	6	83
11/09/2015 02:55	.97	.61	.41	.6	.34	2.82	.96	6	83
11/09/2015 03:00	.67	1.02	.56	1.41	.25	3.04	1.16	6	83
11/09/2015 03:05	.95	1.13	.39	.43	.1	2.87	.98	6	83
11/09/2015 03:10	1.5	.88	.42	1.56	0	2.89	1.21	6	83
11/09/2015 03:15	.81	1.16	.44	.37	.31	2.91	1	6	83
11/09/2015 03:20	1.48	.94	.39	.21	.04	2.79	.98	6	83
11/09/2015 03:25	1.21	1.51	1	.3	.44	3.08	1.26	6	83
11/09/2015 03:30	1.99	1.89	.84	.95	.3	3.15	1.52	6	83
11/09/2015 03:35	2.65	2.47	1.07	1.59	.19	3.22	1.86	6	83
11/09/2015 03:40	1.82	2.03	.7	2.68	.4	3.29	1.82	6	83
11/09/2015 03:45	1.77	1.56	1.2	1.28	.09	3.19	1.51	6	83
11/09/2015 03:50	2.4	3.13	1.18	1.29	.48	3.26	1.96	6	83
11/09/2015 03:55	2.18	2.45	1	1.53	.29	3.18	1.77	6	83
11/09/2015 04:00	2.49	2.13	1	1.02	.52	3.21	1.73	6	83
11/09/2015 04:05	2.44	2.48	1.32	1.35	.39	3.23	1.87	6	83
11/09/2015 04:10	3.09	2.32	1.24	2.02	1.1	3.39	2.19	6	83
11/09/2015 04:15	4.51	2.76	1.67	2.74	.56	3.52	2.63	6	83
11/09/2015 04:20	4.06	2.68	1.49	2.68	.37	3.49	2.46	6	83
11/09/2015 04:25	5.88	4.07	1.96	2.9	.92	3.8	3.26	6	83
11/09/2015 04:30	6.04	4.59	1.76	2.37	1.44	3.58	3.3	6	83
11/09/2015 04:35	6.9	4.09	1.74	2.62	1.52	3.67	3.42	6	83
11/09/2015 04:40	8.43	5.73	2.47	3.4	1.57	3.93	4.26	6	83
11/09/2015 04:45	9.01	5.57	3.14	2.52	.95	3.62	4.14	6	83
11/09/2015 04:50	7.67	5.69	2.49	3.02	1.25	3.95	4.01	6	83
11/09/2015 04:55	7.86	5.99	2.73	3.11	2.28	3.9	4.31	6	83
11/09/2015 05:00	9.02	5.17	3.16	3.04	1.06	4.2	4.28	6	83
11/09/2015 05:05	8.81	5.98	2.93	4.63	2.32	4.3	4.83	6	83
11/09/2015 05:10	10.17	5.98	3.6	4.09	2.12	4.26	5.04	6	83
11/09/2015 05:15	13.09	6.94	3.46	3.99	3.11	4.44	5.84	6	83
11/09/2015 05:20	15.99	8.51	4.79	4.27	2.77	4.48	6.8	6	83
11/09/2015 05:25	14.1	7.87	3.68	5.63	3.08	4.92	6.55	6	83
11/09/2015 05:30	16.33	8.17	4.41	5.71	2.23	5.09	6.99	6	83
11/09/2015 05:35	16.65	8.05	5.01	6.21	3.75	5.23	7.48	6	83
11/09/2015 05:40	18.53	9.19	6.1	6.63	3.44	5.53	8.24	6	83
11/09/2015 05:45	15.48	8.86	5.08	6.52	4.48	5.3	7.62	6	83
11/09/2015 05:50	16.78	9.36	5.77	6.7	2.9	5.57	7.85	6	83
11/09/2015 05:55	16.63	9.79	5.5	5.57	2.52	5.46	7.58	6	83
11/09/2015 06:00	15.35	9.09	4.98	7.25	3.86	5.47	7.67	6	83
11/09/2015 06:05	15.96	7.97	5.41	7.61	3.63	5.28	7.64	6	83
11/09/2015 06:10	16.17	8.8	5.62	6.64	4.19	5.54	7.83	6	83
11/09/2015 06:15	15.69	8.05	5.45	8.17	3.52	5.57	7.74	6	83
11/09/2015 06:20	15.35	7.8	5.09	6.54	2.82	5.53	7.19	6	83
11/09/2015 06:25	14.82	7.61	5.21	6.24	3.41	5.5	7.13	6	83
11/09/2015 06:30	13.56	7.12	4.89	6.29	3.48	5.38	6.79	6	83
11/09/2015 06:35	14.15	8.21	5.31	5.06	3.07	5.75	6.93	6	83
11/09/2015 06:40	14.69	8.39	5.43	6.52	4.29	5.57	7.48	6	83
11/09/2015 06:45	14.92	8	6.09	7.5	3.45	5.92	7.65	6	83
11/09/2015 06:50	14.98	8.06	5.06	7.86	3.52	5.87	7.56	6	83
11/09/2015 06:55	15.55	9	5.56	7.59	3.42	5.98	7.85	6	83
11/09/2015 07:00	16.87	8.67	5.13	6.86	3.69	5.64	7.81	6	83
11/09/2015 07:05	14.64	8.3	5.03	8.37	2.77	5.89	7.5	6	83
11/09/2015 07:10	13.14	7.83	5.58	7.13	2.99	5.77	7.07	6	83
11/09/2015 07:15	15.29	8.52	5.67	7.26	4.29	5.78	7.8	6	83
11/09/2015 07:20	15.33	8.79	6.17	8.68	3.32	6.33	8.1	6	83
11/09/2015 07:25	14.49	8.4	6.06	6.33	3.41	5.96	7.44	6	83
11/09/2015 07:30	13.31	8.44	5.23	7.29	3.67	5.84	7.3	6	83
11/09/2015 07:35	13.52	8.29	6.02	6.71	3.76	5.8	7.35	6	83
11/09/2015 07:40	14.32	8.36	6.29	7.51	2.47	5.94	7.48	6	83
11/09/2015 07:45	13.71	8.59	6.06	8.75	3.53	6.23	7.81	6	83
11/09/2015 07:50	15.92	8.31	5.93	8.18	5.37	6.25	8.33	6	83
11/09/2015 07:55	17.71	10.15	6.17	10.21	4.45	6.49	9.2	6	83
11/09/2015 08:00	17.07	8.98	6.68	8.75	4.87	6.35	8.78	6	83
11/09/2015 08:05	16.77	9.17	5.68	9.76	4.47	6.14	8.67	6	83
11/09/2015 08:10	14.24	7.93	6.42	10.07	3.8	6.28	8.12	6	83
11/09/2015 08:15	17.05	8.84	6.31	8.99	5.03	6.54	8.79	6	83
11/09/2015 08:20	15.62	9.87	6	10.25	4.31	6.64	8.78	6	83
11/09/2015 08:25	17.7	9.17	6.57	11.48	4.89	6.7	9.42	6	83
11/09/2015 08:30	19.49	9.63	6.19	8.98	4.95	6.95	9.37	6	83
11/09/2015 08:35	16.7	8.71	5.99	8.74	5.34	6.43	8.65	6	83
11/09/2015 08:40	19.41	9.07	6.73	9.84	4.92	6.55	9.42	6	83
11/09/2015 08:45	15.56	8.7	6.22	9.71	4.06	6.33	8.43	6	83
11/09/2015 08:50	17.29	7.75	6.12	9.63	5.15	6.24	8.7	6	83
11/09/2015 08:55	16.16	7.56	5.56	9.28	4.76	5.96	8.21	6	83
11/09/2015 09:00	27.91	8.79	5.81	9.88	4.6	6.32	10.55	6	83
11/09/2015 09:05	16.68	9.93	6.14	10.85	4.42	6.52	9.09	6	83
11/09/2015 09:10	14.35	9.1	6.01	9.39	5.06	6.27	8.36	6	83
11/09/2015 09:15	15.98	8.94	6.6	9.17	4.14	6.71	8.59	6	83
11/09/2015 09:20	17.62	9.78	5.75	7.98	5.37	6.72	8.87	6	83
11/09/2015 09:25	15.79	8.88	6.39	8.53	5.07	6.42	8.51	6	83
11/09/2015 09:30	15.4	8.28	5.77	9.59	4.94	6.23	8.37	6	83
11/09/2015 09:35	14.73	8.83	5.83	7.06	4.61	5.95	7.84	6	83
11/09/2015 09:40	17.16	8.74	6.61	10.53	5.11	6.54	9.12	6	83
11/09/2015 09:45	19.29	9.11	5.75	9.37	4.64	6.81	9.16	6	83
11/09/2015 09:50	17.79	8.62	5.23	8.73	5.29	6.17	8.64	6	83
11/09/2015 09:55	17.37	7.5	5.82	8.56	5.93	6.43	8.6	6	83
11/09/2015 10:00	16.85	7.77	5.37	9.69	5.28	6.25	8.54	6	83
11/09/2015 10:05	17.28	7.75	5	7.48	5.79	6.31	8.27	6	83
11/09/2015 10:10	15.75	8.14	5.34	9.32	5.1	6.61	8.38	6	83
11/09/2015 10:15	16.84	8.29	5.21	11.36	4.03	6.48	8.7	6	83
11/09/2015 10:20	15.5	8.05	4.97	9.74	3.41	6.62	8.05	6	83
11/09/2015 10:25	14.49	7.37	4.87	8.29	3.14	5.85	7.34	6	83
11/09/2015 10:30	12.85	7.38	4.09	7.29	5.01	5.84	7.08	6	83
11/09/2015 10:35	16.5	6.89	5.2	9.74	2.98	6.37	7.95	6	83
11/09/2015 10:40	17.35	6.56	4.47	9.15	3.4	6.7	7.94	6	83
11/09/2015 10:45	16.6	7.02	4.67	8.4	3.55	6.36	7.77	6	83
11/09/2015 10:50	19.33	7.54	5.01	9.86	3.18	6.73	8.61	6	83
11/09/2015 10:55	14.97	6.6	4.94	8.97	3.83	6.4	7.62	6	83
11/09/2015 11:00	16.54	8.5	5.16	12.36	3.37	7.4	8.89	6	83
11/09/2015 11:05	17.27	8.4	4.75	8.38	6.45	6.3	8.59	6	83
11/09/2015 11:10	18.26	8.18	5.68	10.09	3.45	6.95	8.77	6	83
11/09/2015 11:15	16.79	7.83	5.54	8.96	4.07	6.52	8.29	6	83
11/09/2015 11:20	16.48	8.2	5.21	9.57	3.83	6.45	8.29	6	83
11/09/2015 11:25	16.79	8.34	4.72	10.67	3.95	7.39	8.64	6	83
11/09/2015 11:30	16.69	8.75	4.9	8.9	3.45	6.53	8.2	6	83
11/09/2015 11:35	17.87	8.9	5.68	7.71	5.22	6.12	8.58	6	83
11/09/2015 11:40	17.15	8.77	5.71	10.94	3.64	6.84	8.84	6	83
11/09/2015 11:45	16.21	8.24	5.3	8.75	3.64	6.42	8.09	6	83
11/09/2015 11:50	18.33	9.27	6.33	7.87	3.52	6.7	8.67	6	83
11/09/2015 11:55	16.53	8.65	5.72	8.78	3.76	6.53	8.33	6	83
11/09/2015 12:00	15.4	7.44	5.31	7.98	3.24	6.32	7.61	6	83
11/09/2015 12:05	15.07	8.21	6.51	8.36	3.11	6.34	7.93	6	83
11/09/2015 12:10	17.67	8.22	5.52	8.39	3.7	6.35	8.31	6	83
11/09/2015 12:15	16.02	8.83	6.43	9.03	4.37	6.65	8.55	6	83
11/09/2015 12:20	15.79	8.17	5	7.65	3.47	6.18	7.71	6	83
11/09/2015 12:25	13.44	7.62	4.34	6.89	3.08	5.65	6.84	6	83
11/09/2015 12:30	16.94	9.07	5.25	9.2	3.75	6.31	8.42	6	83
11/09/2015 12:35	16.2	8.06	5.61	9.16	3.64	6.6	8.21	6	83
11/09/2015 12:40	15.91	9.42	5.52	6.98	3.97	6.08	7.98	6	83
11/09/2015 12:45	17.33	8.04	4.76	7.38	3.76	6.04	7.89	6	83
11/09/2015 12:50	13.98	8.33	5.02	8.17	3.14	6.1	7.46	6	83
11/09/2015 12:55	14.3	8.33	5.09	6.1	3.36	5.61	7.13	6	83
11/09/2015 13:00	14.03	7.94	5.38	6.75	3.44	6.2	7.29	6	83
11/09/2015 13:05	13.53	7.54	5.05	6.93	3.9	5.72	7.11	6	83
11/09/2015 13:10	15.5	7	5.5	8.64	2.6	6.39	7.61	6	83
11/09/2015 13:15	14.9	7.94	5.13	8.78	3.06	6.53	7.72	6	83
11/09/2015 13:20	15.5	8.52	5.41	7.2	2.53	6.23	7.56	6	83
11/09/2015 13:25	13.6	7.24	4.95	8.45	2.62	6.25	7.18	6	83
11/09/2015 13:30	16.14	7.14	5.48	6.85	4.1	5.69	7.57	6	83
11/09/2015 13:35	14.29	7.63	5.06	6.02	3.14	5.88	7	6	83
11/09/2015 13:40	13.31	7.19	5.09	5.98	2.66	5.62	6.64	6	83
11/09/2015 13:45	14.72	8.2	5.13	8.1	2.37	6.13	7.44	6	83
11/09/2015 13:50	13.33	7.54	4.67	5.88	2.75	5.38	6.59	6	83
11/09/2015 13:55	15.92	8.14	5.48	9.32	3.22	6.24	8.05	6	83
11/09/2015 14:00	14.03	7.19	5.61	10.77	2.98	6.05	7.77	6	83
11/09/2015 14:05	14.36	7.64	5.29	6.12	3.29	5.81	7.08	6	83
11/09/2015 14:10	14.06	8.17	5.47	6.06	1.93	6.11	6.97	6	83
