5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Lane 6 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	71.5	73.9	72	69.2	64.5	64.5	71.7	6	0
11/02/2015 00:05	72.5	72.9	67.4	70	64.6	64.4	71.4	6	0
11/02/2015 00:10	71.4	74.2	73.3	69.7	64.1	64.5	71.8	6	0
11/02/2015 00:15	71.2	72.4	73	69.5	64.4	64.4	71.3	6	0
11/02/2015 00:20	68.3	69.8	71.4	68.5	63.9	63.9	69	6	0
11/02/2015 00:25	68.6	71.6	71.6	69.4	64	63.9	69.5	6	0
11/02/2015 00:30	70.3	70.1	70.6	69.5	63.7	63.8	70	6	0
11/02/2015 00:35	74	66	68	70.2	64.1	63.7	71.3	6	0
11/02/2015 00:40	75.4	71.7	71.4	69.9	63.7	63.8	73.6	6	0
11/02/2015 00:45	77.7	73.5	71.8	68.8	63.8	63.8	75.5	6	0
11/02/2015 00:50	79.2	75	73.7	70	64.3	64.1	76.8	6	0
11/02/2015 00:55	78.3	75.6	71.1	68.5	63.9	63.8	76.2	6	0
11/02/2015 01:00	74.8	72.4	70.4	67.7	63.1	63.1	69	6	0
11/02/2015 01:05	75.5	73	71.1	68.3	63.7	63.7	69.7	6	0
11/02/2015 01:10	75.2	74	72	69.2	64.5	64.5	74.1	6	0
11/02/2015 01:15	78.4	74	72	69.2	64.5	64.5	76.2	6	0
11/02/2015 01:20	74.4	73.9	72.6	70.1	64.5	64.4	73.6	6	0
11/02/2015 01:25	75.5	71.9	72.7	70.2	63.8	64.3	74.2	6	0
11/02/2015 01:30	75.2	70.9	75	69.4	64.3	64.2	74	6	0
11/02/2015 01:35	76	71.7	73.1	68.4	64.3	64.2	74.5	6	0
11/02/2015 01:40	72	73.4	73.1	68	64.5	64.1	72.1	6	0
11/02/2015 01:45	71.3	73.9	74.7	68	63	63.9	71.9	6	0
11/02/2015 01:50	71.8	73.9	72.1	69	63.6	63.9	72	6	0
11/02/2015 01:55	73	73	69.7	68.5	62.7	63.5	72.3	6	0
11/02/2015 02:00	74.3	74.6	71.1	66.6	64.9	63.9	73.5	6	0
11/02/2015 02:05	74.5	75.9	71.8	66.8	64.5	64.1	74	6	0
11/02/2015 02:10	76.5	75.8	72.4	68	64.8	64.1	75.6	6	0
11/02/2015 02:15	77.9	74.6	72.6	69.1	66.3	64.1	76.4	6	0
11/02/2015 02:20	76.5	74.4	71.5	68.8	64.3	63.7	75.1	6	0
11/02/2015 02:25	76.1	74	69.3	69.5	65.8	64.4	74.6	6	0
11/02/2015 02:30	75.1	75.6	68.8	70.3	64.3	64.4	74.1	6	0
11/02/2015 02:35	77.4	73.5	70.9	70	64.3	64.3	75.4	6	0
11/02/2015 02:40	77.2	73	68.8	68.9	64.5	63.9	74.9	6	0
11/02/2015 02:45	76.1	72.5	69.6	68.9	63.6	63.4	74.3	6	0
11/02/2015 02:50	74.6	71.9	70.3	69	63	63	73.1	6	0
11/02/2015 02:55	74.2	73.9	69.2	69.3	61.5	63.4	73.3	6	0
11/02/2015 03:00	76.7	76.9	69.8	67.6	62.9	64.3	75.3	6	0
11/02/2015 03:05	78	79.6	69	67.3	63.1	64.3	76.9	6	0
11/02/2015 03:10	78.5	75	71.4	66.7	64.1	64.7	76.4	6	0
11/02/2015 03:15	77.4	75.7	60.9	68.9	62.6	63.8	74.6	6	0
11/02/2015 03:20	77.3	72.6	64.4	68.2	64.1	63.8	74.6	6	0
11/02/2015 03:25	79.9	73.8	70.1	69.5	62.5	63.9	76.6	6	0
11/02/2015 03:30	77.3	74.3	65.5	67.8	61.8	64.2	74.5	6	0
11/02/2015 03:35	75.7	70.8	70.2	64.2	63	63.9	73.1	6	0
11/02/2015 03:40	73	69.5	66.4	64.3	64.3	64.2	70.9	6	0
11/02/2015 03:45	70.5	69.7	69.2	67.5	65.1	64.2	69.8	6	0
11/02/2015 03:50	72	71.7	68.6	68.5	65.9	64.2	71.3	6	0
11/02/2015 03:55	72.4	73	70.9	69.2	65.1	64.4	72.1	6	0
11/02/2015 04:00	81	76.3	66.3	66.5	60.7	64.7	76.9	6	0
11/02/2015 04:05	83.8	78.2	70.4	68.7	63	65.2	79.2	6	0
11/02/2015 04:10	83.3	81.2	68.5	65.6	60.8	64.5	79.3	6	0
11/02/2015 04:15	85.2	77.1	67.6	66.3	57.9	64.4	78.9	6	0
11/02/2015 04:20	81.4	77.1	67.7	72.2	56.8	64.2	76.9	6	0
