5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	12	21	12	7	10	10	72	6	100
11/09/2015 00:05	16	23	11	12	17	10	89	6	100
11/09/2015 00:10	13	14	13	5	12	9	66	6	100
11/09/2015 00:15	11	18	13	8	13	14	77	6	100
11/09/2015 00:20	9	18	11	10	14	7	69	6	100
11/09/2015 00:25	8	13	11	7	9	11	59	6	100
11/09/2015 00:30	13	20	8	7	12	3	63	6	100
11/09/2015 00:35	8	21	13	7	12	8	69	6	100
11/09/2015 00:40	8	20	9	8	17	10	72	6	100
11/09/2015 00:45	7	19	8	9	4	7	54	6	100
11/09/2015 00:50	5	17	5	6	18	5	56	6	100
11/09/2015 00:55	6	11	4	2	9	6	38	6	100
11/09/2015 01:00	3	13	7	3	6	11	43	6	100
11/09/2015 01:05	8	19	6	1	7	7	48	6	100
11/09/2015 01:10	5	14	6	3	9	7	44	6	100
11/09/2015 01:15	8	15	15	5	2	9	54	6	100
11/09/2015 01:20	9	14	12	4	10	2	51	6	100
11/09/2015 01:25	4	12	10	6	10	6	48	6	100
11/09/2015 01:30	7	6	7	4	12	5	41	6	100
11/09/2015 01:35	5	9	2	2	5	5	28	6	100
11/09/2015 01:40	6	10	1	7	8	6	38	6	100
11/09/2015 01:45	6	12	7	13	9	5	52	6	100
11/09/2015 01:50	5	16	9	3	7	7	47	6	100
11/09/2015 01:55	5	7	5	1	6	6	30	6	100
11/09/2015 02:00	4	9	7	2	6	7	35	6	100
11/09/2015 02:05	6	10	6	4	2	4	32	6	100
11/09/2015 02:10	3	3	4	3	6	3	22	6	100
11/09/2015 02:15	6	7	5	3	8	4	33	6	100
11/09/2015 02:20	1	4	6	4	5	9	29	6	100
11/09/2015 02:25	7	11	4	3	3	7	35	6	100
11/09/2015 02:30	5	7	10	9	8	4	43	6	100
11/09/2015 02:35	7	9	7	6	10	4	43	6	100
11/09/2015 02:40	5	17	5	6	9	6	48	6	100
11/09/2015 02:45	6	13	11	5	18	5	58	6	100
11/09/2015 02:50	5	23	10	4	10	0	52	6	100
11/09/2015 02:55	8	10	6	4	6	5	39	6	100
11/09/2015 03:00	9	15	9	4	6	3	46	6	100
11/09/2015 03:05	11	16	7	3	9	7	53	6	100
11/09/2015 03:10	10	14	10	5	13	4	56	6	100
11/09/2015 03:15	13	21	13	5	6	4	62	6	100
11/09/2015 03:20	7	20	9	9	10	5	60	6	100
11/09/2015 03:25	14	19	12	16	6	5	72	6	100
11/09/2015 03:30	7	16	13	7	11	5	59	6	100
11/09/2015 03:35	20	24	18	8	13	6	89	6	100
11/09/2015 03:40	10	27	18	8	11	8	82	6	100
11/09/2015 03:45	21	26	15	22	12	6	102	6	100
11/09/2015 03:50	20	24	14	16	14	3	91	6	100
11/09/2015 03:55	28	27	16	20	17	7	115	6	100
11/09/2015 04:00	31	30	24	10	18	3	116	6	100
11/09/2015 04:05	18	17	11	13	12	5	76	6	100
11/09/2015 04:10	26	29	19	17	21	11	123	6	100
11/09/2015 04:15	27	32	26	23	20	17	145	6	100
11/09/2015 04:20	53	47	32	20	34	16	202	6	100
11/09/2015 04:25	54	40	20	30	27	11	182	6	100
11/09/2015 04:30	42	51	32	31	30	18	204	6	100
11/09/2015 04:35	51	65	36	35	26	20	233	6	100
11/09/2015 04:40	70	65	36	37	42	31	281	6	100
11/09/2015 04:45	69	75	50	47	44	32	317	6	100
11/09/2015 04:50	74	82	43	40	42	25	306	6	100
11/09/2015 04:55	90	80	51	45	44	22	332	6	100
11/09/2015 05:00	77	78	47	53	51	27	333	6	100
11/09/2015 05:05	106	119	61	61	55	35	437	6	100
11/09/2015 05:10	87	92	43	82	61	51	416	6	100
11/09/2015 05:15	132	104	88	69	67	45	505	6	100
11/09/2015 05:20	136	127	74	112	77	62	588	6	100
11/09/2015 05:25	114	107	75	78	82	63	519	6	100
11/09/2015 05:30	148	141	104	127	90	84	694	6	100
11/09/2015 05:35	136	125	91	104	96	89	641	6	100
11/09/2015 05:40	114	137	106	111	93	88	649	6	100
11/09/2015 05:45	110	123	104	99	83	87	606	6	100
11/09/2015 05:50	100	114	100	92	85	97	588	6	100
11/09/2015 05:55	95	112	81	85	77	84	534	6	100
11/09/2015 06:00	97	108	84	88	95	92	564	6	100
11/09/2015 06:05	89	97	88	82	82	68	506	6	100
11/09/2015 06:10	94	104	79	80	49	68	474	6	100
11/09/2015 06:15	85	105	86	91	79	67	513	6	100
11/09/2015 06:20	81	88	75	77	62	58	441	6	100
11/09/2015 06:25	82	92	66	83	66	72	461	6	100
11/09/2015 06:30	109	103	66	73	76	57	484	6	100
11/09/2015 06:35	108	92	75	93	81	64	513	6	100
11/09/2015 06:40	109	90	77	91	83	56	506	6	100
11/09/2015 06:45	97	95	74	86	88	59	499	6	100
11/09/2015 06:50	86	81	66	74	75	54	436	6	100
11/09/2015 06:55	90	106	80	94	72	58	500	6	100
11/09/2015 07:00	73	83	62	65	75	48	406	6	100
11/09/2015 07:05	81	88	52	92	76	61	450	6	100
11/09/2015 07:10	92	98	80	117	70	65	522	6	100
11/09/2015 07:15	96	92	86	89	79	66	508	6	100
11/09/2015 07:20	97	97	62	91	68	64	479	6	100
11/09/2015 07:25	96	102	76	72	80	56	482	6	100
11/09/2015 07:30	100	84	78	85	78	55	480	6	100
11/09/2015 07:35	90	92	90	85	75	59	491	6	100
11/09/2015 07:40	92	119	88	69	80	58	506	6	100
11/09/2015 07:45	82	94	77	67	70	58	448	6	100
11/09/2015 07:50	94	88	82	69	65	66	464	6	100
11/09/2015 07:55	87	101	70	68	53	54	433	6	100
11/09/2015 08:00	81	99	74	81	63	65	463	6	100
11/09/2015 08:05	74	78	82	65	70	51	420	6	100
11/09/2015 08:10	93	114	83	61	67	50	468	6	100
11/09/2015 08:15	95	87	68	72	70	56	448	6	100
11/09/2015 08:20	73	76	57	83	55	57	401	6	100
11/09/2015 08:25	75	77	63	64	82	54	415	6	100
11/09/2015 08:30	76	74	66	61	60	62	399	6	100
11/09/2015 08:35	67	85	52	62	66	49	381	6	100
11/09/2015 08:40	92	100	73	74	63	70	472	6	100
11/09/2015 08:45	63	88	61	67	70	60	409	6	100
11/09/2015 08:50	81	81	74	68	74	68	446	6	100
11/09/2015 08:55	87	76	81	72	70	47	433	6	100
11/09/2015 09:00	85	89	58	74	69	56	431	6	100
11/09/2015 09:05	63	70	57	49	69	54	362	6	100
11/09/2015 09:10	80	76	61	68	84	66	435	6	100
11/09/2015 09:15	76	94	66	70	82	59	447	6	100
11/09/2015 09:20	72	83	49	65	80	68	417	6	100
11/09/2015 09:25	87	80	76	80	82	64	469	6	100
