5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/02/2015 00:00	43	42	31	116	3	100
11/02/2015 00:05	48	44	27	119	3	100
11/02/2015 00:10	33	54	24	111	3	100
11/02/2015 00:15	26	42	25	93	3	100
11/02/2015 00:20	29	48	24	101	3	100
11/02/2015 00:25	33	43	22	98	3	100
11/02/2015 00:30	28	43	28	99	3	100
11/02/2015 00:35	19	26	16	61	3	100
11/02/2015 00:40	21	31	13	65	3	100
11/02/2015 00:45	24	35	23	82	3	100
11/02/2015 00:50	22	34	20	76	3	100
11/02/2015 00:55	20	36	21	77	3	100
11/02/2015 01:00	17	17	9	43	3	100
11/02/2015 01:05	24	36	19	79	3	100
11/02/2015 01:10	16	21	14	51	3	100
11/02/2015 01:15	17	30	15	62	3	100
11/02/2015 01:20	8	22	14	44	3	100
11/02/2015 01:25	11	17	23	51	3	100
11/02/2015 01:30	15	23	17	55	3	100
11/02/2015 01:35	20	23	17	60	3	100
11/02/2015 01:40	8	16	11	35	3	100
11/02/2015 01:45	17	13	15	45	3	100
11/02/2015 01:50	9	18	9	36	3	100
11/02/2015 01:55	8	13	12	33	3	100
11/02/2015 02:00	7	21	13	41	3	100
11/02/2015 02:05	6	9	10	25	3	100
11/02/2015 02:10	11	14	14	39	3	100
11/02/2015 02:15	6	18	12	36	3	100
11/02/2015 02:20	9	18	15	42	3	100
11/02/2015 02:25	10	13	8	31	3	100
11/02/2015 02:30	10	13	10	33	3	100
11/02/2015 02:35	15	18	14	47	3	100
11/02/2015 02:40	5	21	16	42	3	100
11/02/2015 02:45	7	17	9	33	3	100
11/02/2015 02:50	9	15	10	34	3	100
11/02/2015 02:55	6	20	18	44	3	100
11/02/2015 03:00	11	10	8	29	3	100
11/02/2015 03:05	10	12	8	30	3	100
11/02/2015 03:10	5	11	13	29	3	100
11/02/2015 03:15	12	15	7	34	3	100
11/02/2015 03:20	8	22	15	45	3	100
11/02/2015 03:25	7	19	16	42	3	100
11/02/2015 03:30	15	13	11	39	3	100
11/02/2015 03:35	12	21	14	47	3	100
11/02/2015 03:40	9	20	19	48	3	100
11/02/2015 03:45	14	19	17	50	3	100
11/02/2015 03:50	9	20	19	48	3	100
11/02/2015 03:55	15	16	19	50	3	100
11/02/2015 04:00	15	22	21	58	3	100
11/02/2015 04:05	14	21	15	50	3	100
11/02/2015 04:10	19	32	13	64	3	100
11/02/2015 04:15	19	29	20	68	3	100
11/02/2015 04:20	24	36	23	83	3	100
11/02/2015 04:25	27	29	18	74	3	100
11/02/2015 04:30	33	39	33	105	3	100
11/02/2015 04:35	32	45	35	112	3	100
11/02/2015 04:40	30	44	30	104	3	100
11/02/2015 04:45	42	49	36	127	3	100
11/02/2015 04:50	49	49	37	135	3	100
11/02/2015 04:55	47	51	34	132	3	100
11/02/2015 05:00	54	53	34	141	3	100
11/02/2015 05:05	54	59	45	158	3	100
11/02/2015 05:10	64	65	45	174	3	100
11/02/2015 05:15	79	81	50	210	3	100
11/02/2015 05:20	83	98	56	237	3	100
11/02/2015 05:25	103	94	59	256	3	100
11/02/2015 05:30	110	106	69	285	3	100
11/02/2015 05:35	116	109	66	291	3	100
11/02/2015 05:40	144	111	77	332	3	100
11/02/2015 05:45	128	117	75	320	3	100
11/02/2015 05:50	148	122	77	347	3	100
11/02/2015 05:55	149	112	81	342	3	100
11/02/2015 06:00	190	153	92	435	3	100
11/02/2015 06:05	166	154	79	399	3	100
11/02/2015 06:10	197	164	80	441	3	100
11/02/2015 06:15	194	158	98	450	3	100
11/02/2015 06:20	195	171	113	479	3	100
11/02/2015 06:25	181	147	104	432	3	100
11/02/2015 06:30	192	159	99	450	3	100
11/02/2015 06:35	178	141	104	423	3	100
11/02/2015 06:40	167	160	124	451	3	100
11/02/2015 06:45	178	148	107	433	3	100
11/02/2015 06:50	179	161	111	451	3	100
11/02/2015 06:55	178	144	119	441	3	100
11/02/2015 07:00	166	142	100	408	3	100
11/02/2015 07:05	168	158	117	443	3	100
11/02/2015 07:10	168	168	118	454	3	100
11/02/2015 07:15	214	160	137	511	3	100
11/02/2015 07:20	202	174	131	507	3	100
11/02/2015 07:25	178	167	148	493	3	100
