5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/09/2015 00:00	2.31	3.3	2.95	2.85	3	100
11/09/2015 00:05	1.78	2.19	1.9	1.96	3	100
11/09/2015 00:10	2.16	2.68	2.35	2.4	3	100
11/09/2015 00:15	2.51	2.84	2.88	2.74	3	100
11/09/2015 00:20	1.6	1.83	1.86	1.76	3	100
11/09/2015 00:25	1.73	2.1	1.6	1.81	3	100
11/09/2015 00:30	2.04	2.18	2.02	2.08	3	100
11/09/2015 00:35	1.6	2.54	2.37	2.17	3	100
11/09/2015 00:40	1.64	2.03	1.88	1.85	3	100
11/09/2015 00:45	1.7	2.04	1.51	1.75	3	100
11/09/2015 00:50	1.53	1.99	1.6	1.71	3	100
11/09/2015 00:55	1.37	1.83	1.36	1.52	3	100
11/09/2015 01:00	1.49	1.8	1.73	1.67	3	100
11/09/2015 01:05	.97	1.09	1.13	1.06	3	100
11/09/2015 01:10	1.31	1.87	1.8	1.66	3	100
11/09/2015 01:15	.8	1.93	1.16	1.3	3	100
11/09/2015 01:20	1.11	1.41	1.38	1.3	3	100
11/09/2015 01:25	.8	1.32	1.23	1.12	3	100
11/09/2015 01:30	.97	1.78	1.02	1.26	3	100
11/09/2015 01:35	.73	1.12	1.56	1.14	3	100
11/09/2015 01:40	.51	1.15	1.42	1.03	3	100
11/09/2015 01:45	.72	1.03	1.27	1.01	3	100
11/09/2015 01:50	.63	1.41	.7	.91	3	100
11/09/2015 01:55	.49	.9	1.41	.93	3	100
11/09/2015 02:00	.45	1.03	1.02	.83	3	100
11/09/2015 02:05	.97	1.49	.84	1.1	3	100
11/09/2015 02:10	.68	.87	1.96	1.17	3	100
11/09/2015 02:15	.65	.9	.86	.8	3	100
11/09/2015 02:20	.26	.77	1.68	.9	3	100
11/09/2015 02:25	.59	.56	1.69	.95	3	100
11/09/2015 02:30	.19	.54	1.54	.76	3	100
11/09/2015 02:35	.13	.87	1.31	.77	3	100
11/09/2015 02:40	.3	.47	1.09	.62	3	100
11/09/2015 02:45	.43	.71	.63	.59	3	100
11/09/2015 02:50	.26	1.09	1.04	.8	3	100
11/09/2015 02:55	.19	.97	.85	.67	3	100
11/09/2015 03:00	.5	.88	1.61	1	3	100
11/09/2015 03:05	.41	.88	.95	.75	3	100
11/09/2015 03:10	.58	1.21	1.8	1.2	3	100
11/09/2015 03:15	.4	.87	1.73	1	3	100
11/09/2015 03:20	.66	1.21	.92	.93	3	100
11/09/2015 03:25	.24	.68	2.49	1.14	3	100
11/09/2015 03:30	.65	.88	1.96	1.16	3	100
11/09/2015 03:35	.71	1.3	2.51	1.51	3	100
11/09/2015 03:40	.64	1.43	1.2	1.09	3	100
11/09/2015 03:45	.5	.88	1.19	.86	3	100
11/09/2015 03:50	.8	1.19	1.35	1.11	3	100
11/09/2015 03:55	.3	.89	2.15	1.11	3	100
11/09/2015 04:00	.8	1.63	2.6	1.68	3	100
11/09/2015 04:05	.6	1.45	2.29	1.45	3	100
11/09/2015 04:10	1.15	1.88	2.42	1.82	3	100
11/09/2015 04:15	1.28	1.96	2.69	1.98	3	100
11/09/2015 04:20	1.27	2.15	3.09	2.17	3	100
11/09/2015 04:25	1.86	2.02	1.79	1.89	3	100
11/09/2015 04:30	1.93	2.27	2.78	2.33	3	100
11/09/2015 04:35	1.81	2.9	1.94	2.22	3	100
11/09/2015 04:40	2.46	3.48	3.16	3.03	3	100
11/09/2015 04:45	2.44	2.48	3.48	2.8	3	100
11/09/2015 04:50	3.59	3.95	3.21	3.58	3	100
11/09/2015 04:55	2.12	3.33	3.69	3.05	3	100
11/09/2015 05:00	1.9	3.04	3.4	2.78	3	100
11/09/2015 05:05	4.45	4.29	3.57	4.1	3	100
11/09/2015 05:10	3.79	3.78	4.51	4.03	3	100
11/09/2015 05:15	4.25	5.14	4.6	4.66	3	100
11/09/2015 05:20	5.23	5.52	4.27	5.01	3	100
