5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/09/2015 00:00	71.9	71.5	62.7	69.4	3	100
11/09/2015 00:05	71.7	70.2	62.8	68.5	3	100
11/09/2015 00:10	71.1	69.6	60.7	67.7	3	100
11/09/2015 00:15	71.2	70.6	62.8	68.3	3	100
11/09/2015 00:20	71.4	70.3	63	68.3	3	100
11/09/2015 00:25	71.7	69.8	64.1	68.7	3	100
11/09/2015 00:30	71.5	69.8	64.8	68.8	3	100
11/09/2015 00:35	71.8	68.2	59.8	67.1	3	100
11/09/2015 00:40	71.8	68.8	59.8	67.4	3	100
11/09/2015 00:45	71.5	69.4	61.2	68	3	100
11/09/2015 00:50	71.6	69.6	61.8	68.1	3	100
11/09/2015 00:55	71.6	69.5	61.7	68.3	3	100
11/09/2015 01:00	71.8	69.6	62.9	68.3	3	100
11/09/2015 01:05	71.8	69.9	63.6	68.4	3	100
11/09/2015 01:10	71.9	70.1	64.3	68.7	3	100
11/09/2015 01:15	71.8	68.6	63.3	68.1	3	100
11/09/2015 01:20	71.8	69.2	63.1	68.2	3	100
11/09/2015 01:25	72	69.3	61.5	68.5	3	100
11/09/2015 01:30	71.9	69.6	62	68.6	3	100
11/09/2015 01:35	71.9	69.4	61.2	67.2	3	100
11/09/2015 01:40	71.8	69.6	61.9	67	3	100
11/09/2015 01:45	71.7	69.5	61.5	67.6	3	100
11/09/2015 01:50	71.7	69.4	62	68.5	3	100
11/09/2015 01:55	71.8	69.6	62.1	66.9	3	100
11/09/2015 02:00	71.8	69.7	63.5	67.6	3	100
11/09/2015 02:05	71.5	69.5	63.1	68.8	3	100
11/09/2015 02:10	71.6	69.5	62.2	66.8	3	100
11/09/2015 02:15	71.8	69.4	62.9	68.1	3	100
11/09/2015 02:20	71.8	69.6	61.4	66.1	3	100
11/09/2015 02:25	71.9	69.9	60.3	66.7	3	100
11/09/2015 02:30	71.9	69.7	61.8	65.1	3	100
11/09/2015 02:35	71.8	69.8	61.7	66.5	3	100
11/09/2015 02:40	71.9	69.9	61.3	67.1	3	100
11/09/2015 02:45	71.9	69.8	62.5	67.9	3	100
11/09/2015 02:50	71.8	70	63.6	67.6	3	100
11/09/2015 02:55	71.8	69.7	63.9	67.5	3	100
11/09/2015 03:00	71.8	69.8	61.5	67.3	3	100
11/09/2015 03:05	71.9	69.8	61.6	68	3	100
11/09/2015 03:10	71.6	69.8	59.7	66.9	3	100
11/09/2015 03:15	71.8	69.9	60.7	66.1	3	100
11/09/2015 03:20	71.8	69.9	62.7	68.1	3	100
11/09/2015 03:25	71.8	69.7	58.9	63.6	3	100
11/09/2015 03:30	71.7	69.8	58.7	65.8	3	100
11/09/2015 03:35	71.8	69.8	56.8	65.3	3	100
11/09/2015 03:40	71.9	69.8	59.6	67.6	3	100
11/09/2015 03:45	71.8	69.7	62.3	66.8	3	100
11/09/2015 03:50	71.8	69.8	62.1	68.2	3	100
11/09/2015 03:55	71.8	69.6	61	65.4	3	100
11/09/2015 04:00	72	69.9	55.1	66	3	100
11/09/2015 04:05	72	69.9	55.3	65.2	3	100
11/09/2015 04:10	72	69.1	57.2	65.9	3	100
11/09/2015 04:15	72	69.3	54.9	65.9	3	100
11/09/2015 04:20	71.8	69.8	56.5	65.5	3	100
11/09/2015 04:25	72	70.4	59.4	68.5	3	100
11/09/2015 04:30	72.1	70.4	61	68.1	3	100
11/09/2015 04:35	72.1	68.6	62.3	68.2	3	100
11/09/2015 04:40	71.9	69.3	59.6	67.8	3	100
11/09/2015 04:45	72	69.8	61.4	67.8	3	100
11/09/2015 04:50	71.6	70.2	62.9	69	3	100
11/09/2015 04:55	71.9	70.2	56	67.1	3	100
