5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	31	42	30	18	121	4	0
11/09/2015 00:05	38	47	35	23	143	4	0
11/09/2015 00:10	50	54	46	32	182	4	0
11/09/2015 00:15	37	44	34	22	137	4	0
11/09/2015 00:20	38	47	35	23	143	4	0
11/09/2015 00:25	44	50	40	28	162	4	0
11/09/2015 00:30	35	42	32	21	130	4	0
11/09/2015 00:35	30	40	29	18	117	4	0
11/09/2015 00:40	32	45	30	19	126	4	0
11/09/2015 00:45	28	37	27	16	108	4	0
11/09/2015 00:50	23	33	22	12	90	4	0
11/09/2015 00:55	35	40	32	20	127	4	0
11/09/2015 01:00	23	34	22	12	91	4	0
11/09/2015 01:05	27	37	26	15	105	4	0
11/09/2015 01:10	30	35	29	18	112	4	0
11/09/2015 01:15	20	32	20	10	82	4	0
11/09/2015 01:20	20	31	20	10	81	4	0
11/09/2015 01:25	23	32	22	12	89	4	0
11/09/2015 01:30	17	29	17	8	71	4	0
11/09/2015 01:35	20	33	20	10	83	4	0
11/09/2015 01:40	21	29	20	9	79	4	0
11/09/2015 01:45	15	29	15	8	67	4	0
11/09/2015 01:50	18	31	18	7	74	4	0
11/09/2015 01:55	17	29	17	8	71	4	0
11/09/2015 02:00	18	29	18	8	73	4	0
11/09/2015 02:05	16	26	16	7	65	4	0
11/09/2015 02:10	14	27	14	5	60	4	0
11/09/2015 02:15	15	26	15	6	62	4	0
11/09/2015 02:20	15	26	15	6	62	4	0
11/09/2015 02:25	16	27	16	8	67	4	0
11/09/2015 02:30	14	26	14	5	59	4	0
11/09/2015 02:35	14	24	14	5	57	4	0
11/09/2015 02:40	14	28	14	5	61	4	0
11/09/2015 02:45	17	26	17	8	68	4	0
11/09/2015 02:50	15	25	15	6	61	4	0
11/09/2015 02:55	12	23	12	5	52	4	0
11/09/2015 03:00	6	22	7	8	43	4	0
11/09/2015 03:05	17	28	17	6	68	4	0
11/09/2015 03:10	18	27	18	9	72	4	0
11/09/2015 03:15	15	28	15	4	62	4	0
11/09/2015 03:20	10	23	10	3	46	4	0
11/09/2015 03:25	15	26	15	6	62	4	0
11/09/2015 03:30	14	25	14	5	58	4	0
11/09/2015 03:35	13	24	13	5	55	4	0
11/09/2015 03:40	18	30	18	7	73	4	0
11/09/2015 03:45	18	28	18	8	72	4	0
11/09/2015 03:50	20	30	20	10	80	4	0
11/09/2015 03:55	22	31	21	11	85	4	0
11/09/2015 04:00	19	31	19	8	77	4	0
11/09/2015 04:05	22	31	21	11	85	4	0
11/09/2015 04:10	29	34	28	15	106	4	0
11/09/2015 04:15	22	31	21	16	90	4	0
11/09/2015 04:20	30	40	29	18	117	4	0
11/09/2015 04:25	27	36	26	15	104	4	0
11/09/2015 04:30	32	37	30	19	118	4	0
11/09/2015 04:35	39	43	36	24	142	4	0
11/09/2015 04:40	35	44	32	21	132	4	0
11/09/2015 04:45	53	53	49	34	189	4	0
11/09/2015 04:50	42	45	39	26	152	4	0
11/09/2015 04:55	42	46	39	26	153	4	0
11/09/2015 05:00	57	61	52	37	207	4	0
11/09/2015 05:05	43	55	40	27	165	4	0
11/09/2015 05:10	58	59	53	38	208	4	0
11/09/2015 05:15	61	65	56	41	223	4	0
11/09/2015 05:20	63	64	58	42	227	4	0
11/09/2015 05:25	85	76	77	58	296	4	0
11/09/2015 05:30	89	82	80	61	312	4	0
11/09/2015 05:35	84	77	76	57	294	4	0
11/09/2015 05:40	103	100	93	72	368	4	0
11/09/2015 05:45	99	97	89	69	354	4	0
11/09/2015 05:50	93	93	84	64	334	4	0
11/09/2015 05:55	104	98	94	73	369	4	0
11/09/2015 06:00	101	90	91	70	352	4	0
11/09/2015 06:05	94	92	85	65	336	4	0
11/09/2015 06:10	113	100	101	79	393	4	0
11/09/2015 06:15	115	101	103	80	399	4	0
11/09/2015 06:20	116	112	104	81	413	4	0
11/09/2015 06:25	114	107	102	80	403	4	0
11/09/2015 06:30	125	110	112	88	435	4	0
11/09/2015 06:35	127	115	114	90	446	4	0
11/09/2015 06:40	129	117	115	91	452	4	0
11/09/2015 06:45	136	121	121	96	474	4	0
11/09/2015 06:50	131	123	117	92	463	4	0
11/09/2015 06:55	124	121	111	87	443	4	0
11/09/2015 07:00	125	114	112	88	439	4	0
11/09/2015 07:05	127	123	114	90	454	4	0
11/09/2015 07:10	142	130	127	101	500	4	0
11/09/2015 07:15	145	134	129	103	511	4	0
11/09/2015 07:20	141	139	126	100	506	4	0
11/09/2015 07:25	156	148	140	111	555	4	0
11/09/2015 07:30	156	151	139	111	557	4	0
11/09/2015 07:35	136	138	121	96	491	4	0
11/09/2015 07:40	152	142	136	108	538	4	0
11/09/2015 07:45	146	135	130	103	514	4	0
11/09/2015 07:50	148	141	132	105	526	4	0
11/09/2015 07:55	148	145	132	105	530	4	0
11/09/2015 08:00	148	139	132	105	524	4	0
11/09/2015 08:05	156	147	140	111	554	4	0
11/09/2015 08:10	135	132	121	96	484	4	0
11/09/2015 08:15	156	149	139	111	555	4	0
11/09/2015 08:20	150	143	134	106	533	4	0
11/09/2015 08:25	156	148	140	111	555	4	0
11/09/2015 08:30	166	141	148	119	574	4	0
11/09/2015 08:35	145	132	130	103	510	4	0
11/09/2015 08:40	139	136	125	99	499	4	0
11/09/2015 08:45	145	137	130	103	515	4	0
11/09/2015 08:50	138	125	124	98	485	4	0
11/09/2015 08:55	130	120	117	92	459	4	0
11/09/2015 09:00	117	114	105	82	418	4	0
11/09/2015 09:05	131	125	118	93	467	4	0
11/09/2015 09:10	138	117	124	98	477	4	0
11/09/2015 09:15	121	117	109	85	432	4	0
11/09/2015 09:20	124	118	111	87	440	4	0
11/09/2015 09:25	137	124	123	97	481	4	0
11/09/2015 09:30	126	113	112	88	439	4	0
11/09/2015 09:35	127	114	114	90	445	4	0
11/09/2015 09:40	111	105	100	78	394	4	0
11/09/2015 09:45	126	112	113	89	440	4	0
11/09/2015 09:50	115	109	103	80	407	4	0
11/09/2015 09:55	105	105	94	73	377	4	0
11/09/2015 10:00	105	107	94	73	379	4	0
11/09/2015 10:05	121	105	108	85	419	4	0
11/09/2015 10:10	125	115	112	88	440	4	0
11/09/2015 10:15	137	122	123	97	479	4	0
11/09/2015 10:20	122	107	109	86	424	4	0
11/09/2015 10:25	120	115	108	84	427	4	0
11/09/2015 10:30	123	115	110	86	434	4	0
11/09/2015 10:35	114	101	102	80	397	4	0
11/09/2015 10:40	105	101	94	73	373	4	0
11/09/2015 10:45	115	107	103	80	405	4	0
11/09/2015 10:50	103	103	93	72	371	4	0
11/09/2015 10:55	109	110	98	76	393	4	0
11/09/2015 11:00	120	117	107	84	428	4	0
11/09/2015 11:05	101	101	91	70	363	4	0
11/09/2015 11:10	132	117	118	93	460	4	0
11/09/2015 11:15	122	107	109	86	424	4	0
11/09/2015 11:20	108	103	98	76	385	4	0
11/09/2015 11:25	130	116	116	91	453	4	0
11/09/2015 11:30	117	113	105	82	417	4	0
11/09/2015 11:35	110	108	98	77	393	4	0
11/09/2015 11:40	126	118	113	89	446	4	0
11/09/2015 11:45	126	108	112	88	434	4	0
11/09/2015 11:50	104	101	94	73	372	4	0
11/09/2015 11:55	110	101	98	77	386	4	0
11/09/2015 12:00	118	106	106	83	413	4	0
11/09/2015 12:05	119	102	107	83	411	4	0
11/09/2015 12:10	120	113	108	84	425	4	0
11/09/2015 12:15	135	128	121	95	479	4	0
11/09/2015 12:20	137	125	123	97	482	4	0
11/09/2015 12:25	121	118	108	85	432	4	0
11/09/2015 12:30	128	124	115	90	457	4	0
11/09/2015 12:35	136	126	122	96	480	4	0
11/09/2015 12:40	123	114	110	86	433	4	0
11/09/2015 12:45	122	116	109	86	433	4	0
11/09/2015 12:50	139	126	125	99	489	4	0
11/09/2015 12:55	133	121	119	94	467	4	0
11/09/2015 13:00	136	126	121	96	479	4	0
11/09/2015 13:05	134	126	120	95	475	4	0
11/09/2015 13:10	137	127	123	97	484	4	0
11/09/2015 13:15	136	127	122	96	481	4	0
11/09/2015 13:20	132	127	118	93	470	4	0
11/09/2015 13:25	141	130	126	100	497	4	0
11/09/2015 13:30	136	127	122	96	481	4	0
11/09/2015 13:35	133	124	119	94	470	4	0
11/09/2015 13:40	129	128	116	91	464	4	0
11/09/2015 13:45	126	115	113	89	443	4	0
11/09/2015 13:50	130	119	117	92	458	4	0
11/09/2015 13:55	132	123	118	93	466	4	0
11/09/2015 14:00	129	123	115	91	458	4	0
11/09/2015 14:05	130	122	117	92	461	4	0
11/09/2015 14:10	125	122	112	88	447	4	0
11/09/2015 14:15	141	129	126	100	496	4	0
11/09/2015 14:20	151	134	135	107	527	4	0
11/09/2015 14:25	127	114	114	90	445	4	0
11/09/2015 14:30	138	129	124	98	489	4	0
11/09/2015 14:35	138	125	124	98	485	4	0
11/09/2015 14:40	141	131	126	100	498	4	0
11/09/2015 14:45	136	131	122	96	485	4	0
11/09/2015 14:50	116	115	104	81	416	4	0
11/09/2015 14:55	132	120	118	93	463	4	0
11/09/2015 15:00	129	119	116	91	455	4	0
11/09/2015 15:05	119	117	107	84	427	4	0
11/09/2015 15:10	129	120	116	91	456	4	0
11/09/2015 15:15	127	119	114	90	450	4	0
11/09/2015 15:20	125	117	112	88	442	4	0
11/09/2015 15:25	111	115	100	76	402	4	0
11/09/2015 15:30	98	106	89	67	360	4	0
11/09/2015 15:35	122	108	110	86	426	4	0
11/09/2015 15:40	130	120	117	92	459	4	0
11/09/2015 15:45	116	114	104	81	415	4	0
11/09/2015 15:50	112	113	100	78	403	4	0
11/09/2015 15:55	127	122	114	90	453	4	0
11/09/2015 16:00	107	111	96	73	387	4	0
11/09/2015 16:05	102	102	92	71	367	4	0
11/09/2015 16:10	96	102	86	66	350	4	0
11/09/2015 16:15	106	99	96	74	375	4	0
11/09/2015 16:20	101	103	91	70	365	4	0
11/09/2015 16:25	87	96	79	59	321	4	0
11/09/2015 16:30	114	98	102	80	394	4	0
11/09/2015 16:35	99	104	89	69	361	4	0
11/09/2015 16:40	95	101	86	65	347	4	0
11/09/2015 16:45	104	100	94	73	371	4	0
11/09/2015 16:50	112	103	100	78	393	4	0
11/09/2015 16:55	105	108	95	73	381	4	0
11/09/2015 17:00	118	106	106	83	413	4	0
11/09/2015 17:05	113	111	101	79	404	4	0
11/09/2015 17:10	96	104	87	67	354	4	0
11/09/2015 17:15	102	108	92	71	373	4	0
11/09/2015 17:20	100	105	90	70	365	4	0
11/09/2015 17:25	103	104	93	72	372	4	0
11/09/2015 17:30	113	107	101	79	400	4	0
11/09/2015 17:35	98	104	89	67	358	4	0
11/09/2015 17:40	96	101	87	66	350	4	0
