5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	45	45	50	36	33	209	5	80
11/09/2015 00:05	50	33	46	32	33	194	5	80
11/09/2015 00:10	45	33	48	49	34	209	5	80
11/09/2015 00:15	39	37	45	36	36	193	5	80
11/09/2015 00:20	34	31	42	40	25	172	5	80
11/09/2015 00:25	36	34	41	32	24	167	5	80
11/09/2015 00:30	30	27	39	28	22	146	5	80
11/09/2015 00:35	39	33	46	35	33	186	5	80
11/09/2015 00:40	29	22	40	33	27	151	5	80
11/09/2015 00:45	32	29	39	23	24	147	5	80
11/09/2015 00:50	22	14	31	24	13	104	5	80
11/09/2015 00:55	27	18	37	35	25	142	5	80
11/09/2015 01:00	20	20	38	27	32	137	5	80
11/09/2015 01:05	19	11	32	19	21	102	5	80
11/09/2015 01:10	24	20	35	18	17	114	5	80
11/09/2015 01:15	21	14	32	21	14	102	5	80
11/09/2015 01:20	30	14	31	14	12	101	5	80
11/09/2015 01:25	14	16	31	22	11	94	5	80
11/09/2015 01:30	23	14	29	17	8	91	5	80
11/09/2015 01:35	18	11	29	18	12	88	5	80
11/09/2015 01:40	18	11	30	19	12	90	5	80
11/09/2015 01:45	23	12	30	17	16	98	5	80
11/09/2015 01:50	22	9	29	18	13	91	5	80
11/09/2015 01:55	8	7	27	13	12	67	5	80
11/09/2015 02:00	16	14	30	16	13	89	5	80
11/09/2015 02:05	18	8	29	21	14	90	5	80
11/09/2015 02:10	26	10	34	19	22	111	5	80
11/09/2015 02:15	11	14	28	19	10	82	5	80
11/09/2015 02:20	20	8	30	13	19	90	5	80
11/09/2015 02:25	17	7	27	10	9	70	5	80
11/09/2015 02:30	15	11	29	16	13	84	5	80
11/09/2015 02:35	10	5	25	11	13	64	5	80
11/09/2015 02:40	17	10	29	17	11	84	5	80
11/09/2015 02:45	19	6	26	11	13	75	5	80
11/09/2015 02:50	16	10	28	14	9	77	5	80
11/09/2015 02:55	18	8	27	13	17	83	5	80
11/09/2015 03:00	10	14	31	16	17	88	5	80
11/09/2015 03:05	14	8	27	14	9	72	5	80
11/09/2015 03:10	20	10	29	17	17	93	5	80
11/09/2015 03:15	19	8	28	15	14	84	5	80
11/09/2015 03:20	18	4	27	19	9	77	5	80
11/09/2015 03:25	17	13	31	13	9	83	5	80
11/09/2015 03:30	19	9	28	13	12	81	5	80
11/09/2015 03:35	18	16	31	15	19	99	5	80
11/09/2015 03:40	24	16	33	14	16	103	5	80
11/09/2015 03:45	26	13	31	24	24	118	5	80
11/09/2015 03:50	22	7	29	22	15	95	5	80
11/09/2015 03:55	24	18	34	24	23	123	5	80
11/09/2015 04:00	30	21	36	19	21	127	5	80
11/09/2015 04:05	22	16	33	27	21	119	5	80
11/09/2015 04:10	32	27	39	26	26	150	5	80
11/09/2015 04:15	30	24	38	28	28	148	5	80
11/09/2015 04:20	40	34	43	34	33	184	5	80
11/09/2015 04:25	36	31	41	28	31	167	5	80
11/09/2015 04:30	60	44	45	36	26	211	5	80
11/09/2015 04:35	51	41	49	33	26	200	5	80
11/09/2015 04:40	52	62	54	44	36	248	5	80
11/09/2015 04:45	16	13	29	20	21	99	5	80
11/09/2015 04:50	78	96	57	54	46	331	5	80
11/09/2015 04:55	65	70	66	51	37	289	5	80
11/09/2015 05:00	62	59	54	42	31	248	5	80
11/09/2015 05:05	69	67	62	50	35	283	5	80
11/09/2015 05:10	67	84	64	55	48	318	5	80
11/09/2015 05:15	80	86	70	55	49	340	5	80
11/09/2015 05:20	78	100	72	66	43	359	5	80
11/09/2015 05:25	100	133	83	76	43	435	5	80
11/09/2015 05:30	98	121	81	71	57	428	5	80
11/09/2015 05:35	112	144	92	82	61	491	5	80
11/09/2015 05:40	109	142	92	78	73	494	5	80
11/09/2015 05:45	126	148	98	86	77	535	5	80
11/09/2015 05:50	119	127	96	80	64	486	5	80
11/09/2015 05:55	119	148	97	84	70	518	5	80
11/09/2015 06:00	111	133	91	70	63	468	5	80
11/09/2015 06:05	107	123	92	82	62	466	5	80
11/09/2015 06:10	123	151	99	106	74	553	5	80
11/09/2015 06:15	110	157	103	100	75	545	5	80
11/09/2015 06:20	128	155	108	94	81	566	5	80
11/09/2015 06:25	134	132	100	101	77	544	5	80
11/09/2015 06:30	123	142	99	92	66	522	5	80
11/09/2015 06:35	124	158	100	103	83	568	5	80
11/09/2015 06:40	120	156	106	101	71	554	5	80
