5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Lane 5 Flow (Veh/5 Minutes)	Lane 6 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	32	29	19	42	27	6	155	6	100
11/09/2015 00:05	23	29	41	35	33	2	163	6	100
11/09/2015 00:10	26	34	27	43	32	2	164	6	100
11/09/2015 00:15	21	27	28	47	34	6	163	6	100
11/09/2015 00:20	21	29	26	33	19	6	134	6	100
11/09/2015 00:25	33	31	24	36	28	5	157	6	100
11/09/2015 00:30	26	36	29	33	21	4	149	6	100
11/09/2015 00:35	16	27	20	33	21	4	121	6	100
11/09/2015 00:40	13	25	15	33	21	5	112	6	100
11/09/2015 00:45	14	27	21	24	21	4	111	6	100
11/09/2015 00:50	10	15	28	28	15	6	102	6	100
11/09/2015 00:55	17	23	16	23	16	4	99	6	100
11/09/2015 01:00	23	26	23	24	21	17	134	6	0
11/09/2015 01:05	22	26	23	23	21	16	131	6	0
11/09/2015 01:10	22	25	22	22	20	16	127	6	0
11/09/2015 01:15	7	13	23	24	11	7	85	6	100
11/09/2015 01:20	14	17	11	17	7	1	67	6	100
11/09/2015 01:25	14	17	16	21	13	1	82	6	100
11/09/2015 01:30	7	10	16	26	11	4	74	6	100
11/09/2015 01:35	10	14	9	16	9	1	59	6	100
11/09/2015 01:40	14	27	14	23	19	1	98	6	100
11/09/2015 01:45	9	24	13	13	11	3	73	6	100
11/09/2015 01:50	10	10	15	9	10	3	57	6	100
11/09/2015 01:55	10	16	11	10	11	0	58	6	100
11/09/2015 02:00	7	11	4	23	14	3	62	6	100
11/09/2015 02:05	9	9	10	27	11	0	66	6	100
11/09/2015 02:10	6	11	10	16	10	1	54	6	100
11/09/2015 02:15	6	17	9	14	14	2	62	6	100
11/09/2015 02:20	6	13	9	11	6	3	48	6	100
11/09/2015 02:25	9	13	21	20	13	0	76	6	100
