5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Lane 4 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
11/09/2015 00:00	24	27	31	21	103	4	100
11/09/2015 00:05	21	27	24	14	86	4	100
11/09/2015 00:10	17	23	34	30	104	4	100
11/09/2015 00:15	18	28	36	28	110	4	100
11/09/2015 00:20	18	29	34	25	106	4	100
11/09/2015 00:25	18	23	27	21	89	4	100
11/09/2015 00:30	8	21	25	17	71	4	100
11/09/2015 00:35	12	24	26	17	79	4	100
11/09/2015 00:40	11	19	28	16	74	4	100
11/09/2015 00:45	10	20	26	18	74	4	100
11/09/2015 00:50	12	13	24	14	63	4	100
11/09/2015 00:55	17	10	26	18	71	4	100
11/09/2015 01:00	8	13	16	12	49	4	100
11/09/2015 01:05	8	10	10	18	46	4	100
11/09/2015 01:10	8	16	13	7	44	4	100
11/09/2015 01:15	8	18	18	11	55	4	100
11/09/2015 01:20	12	14	19	13	58	4	100
11/09/2015 01:25	8	13	14	13	48	4	100
11/09/2015 01:30	12	16	15	16	59	4	100
11/09/2015 01:35	5	8	25	11	49	4	100
11/09/2015 01:40	3	12	9	8	32	4	100
11/09/2015 01:45	5	8	17	7	37	4	100
11/09/2015 01:50	10	11	19	11	51	4	100
11/09/2015 01:55	5	10	13	8	36	4	100
11/09/2015 02:00	3	11	22	9	45	4	100
11/09/2015 02:05	4	14	17	12	47	4	100
11/09/2015 02:10	9	12	12	16	49	4	100
11/09/2015 02:15	6	9	20	15	50	4	100
11/09/2015 02:20	3	14	9	10	36	4	100
11/09/2015 02:25	4	8	11	11	34	4	100
11/09/2015 02:30	10	11	14	7	42	4	100
11/09/2015 02:35	4	12	21	12	49	4	100
11/09/2015 02:40	8	14	14	11	47	4	100
11/09/2015 02:45	11	16	15	11	53	4	100
11/09/2015 02:50	7	10	22	19	58	4	100
11/09/2015 02:55	10	13	19	15	57	4	100
11/09/2015 03:00	8	15	20	12	55	4	100
11/09/2015 03:05	10	16	12	12	50	4	100
11/09/2015 03:10	9	21	13	11	54	4	100
11/09/2015 03:15	18	22	23	10	73	4	100
11/09/2015 03:20	17	23	24	14	78	4	100
11/09/2015 03:25	19	30	39	17	105	4	100
11/09/2015 03:30	17	20	27	22	86	4	100
11/09/2015 03:35	13	21	27	16	77	4	100
11/09/2015 03:40	23	33	27	19	102	4	100
11/09/2015 03:45	26	32	23	24	105	4	100
11/09/2015 03:50	23	34	24	32	113	4	100
11/09/2015 03:55	23	28	30	27	108	4	100
11/09/2015 04:00	34	33	36	24	127	4	100
11/09/2015 04:05	44	42	40	28	154	4	100
11/09/2015 04:10	29	38	32	31	130	4	100
11/09/2015 04:15	49	50	46	32	177	4	100
11/09/2015 04:20	60	57	53	36	206	4	100
11/09/2015 04:25	67	59	51	39	216	4	100
11/09/2015 04:30	74	81	64	43	262	4	100
11/09/2015 04:35	83	82	68	54	287	4	100
11/09/2015 04:40	83	76	64	51	274	4	100
11/09/2015 04:45	94	82	70	64	310	4	100
11/09/2015 04:50	104	87	86	64	341	4	100
11/09/2015 04:55	104	83	68	63	318	4	100
11/09/2015 05:00	107	85	90	60	342	4	100
11/09/2015 05:05	140	108	88	77	413	4	100
11/09/2015 05:10	188	156	122	98	564	4	100
11/09/2015 05:15	150	137	118	97	502	4	100
11/09/2015 05:20	187	149	126	93	555	4	100
11/09/2015 05:25	202	172	149	128	651	4	100
11/09/2015 05:30	159	161	156	157	633	4	100
11/09/2015 05:35	127	129	111	144	511	4	100
11/09/2015 05:40	152	152	147	172	623	4	100
11/09/2015 05:45	148	147	134	143	572	4	100
11/09/2015 05:50	135	140	123	148	546	4	100
11/09/2015 05:55	111	100	103	117	431	4	100
11/09/2015 06:00	103	107	110	129	449	4	100
11/09/2015 06:05	84	85	104	120	393	4	100
11/09/2015 06:10	76	75	92	117	360	4	100
11/09/2015 06:15	85	81	99	118	383	4	100
11/09/2015 06:20	75	80	85	107	347	4	100
11/09/2015 06:25	74	72	90	110	346	4	100
11/09/2015 06:30	53	53	73	92	271	4	100
11/09/2015 06:35	63	66	77	97	303	4	100
11/09/2015 06:40	60	59	71	101	291	4	100
11/09/2015 06:45	67	62	79	108	316	4	100
11/09/2015 06:50	47	48	81	95	271	4	100
11/09/2015 06:55	41	43	51	59	194	4	100
11/09/2015 07:00	51	52	53	81	237	4	100
11/09/2015 07:05	51	59	74	89	273	4	100
11/09/2015 07:10	47	49	56	84	236	4	100
11/09/2015 07:15	48	34	51	72	205	4	100
11/09/2015 07:20	52	40	61	76	229	4	100
11/09/2015 07:25	42	36	59	93	230	4	100
11/09/2015 07:30	48	47	72	101	268	4	100
11/09/2015 07:35	44	40	87	95	266	4	100
11/09/2015 07:40	48	55	71	82	256	4	100
11/09/2015 07:45	42	39	71	74	226	4	100
11/09/2015 07:50	44	39	81	79	243	4	100
11/09/2015 07:55	43	64	98	114	319	4	100
11/09/2015 08:00	36	39	88	78	241	4	100
11/09/2015 08:05	37	34	81	91	243	4	100
11/09/2015 08:10	34	39	81	85	239	4	100
11/09/2015 08:15	49	58	92	133	332	4	100
11/09/2015 08:20	38	45	64	98	245	4	100
11/09/2015 08:25	49	44	76	111	280	4	100
11/09/2015 08:30	44	46	83	103	276	4	100
11/09/2015 08:35	40	37	80	112	269	4	100
11/09/2015 08:40	34	24	69	94	221	4	100
