5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/02/2015 00:00	2.44	2.18	2.35	3.94	3.64	2.91	5	0
11/02/2015 00:05	2.02	1.68	1.95	3.47	3.17	2.46	5	0
11/02/2015 00:10	1.96	1.62	1.89	3.4	3.12	2.4	5	0
11/02/2015 00:15	2.48	2.23	2.39	3.98	3.67	2.95	5	0
11/02/2015 00:20	1.72	1.33	1.66	3.12	2.85	2.14	5	0
11/02/2015 00:25	1.4	.95	1.34	2.75	2.5	1.79	5	0
11/02/2015 00:30	1.89	1.53	1.82	3.33	3.04	2.32	5	0
11/02/2015 00:35	1.74	1.35	1.67	3.14	2.87	2.15	5	0
11/02/2015 00:40	1.89	1.53	1.82	3.32	3.03	2.31	5	0
11/02/2015 00:45	1.3	.83	1.25	2.65	2.39	1.68	5	0
11/02/2015 00:50	1.33	.87	1.28	2.68	2.42	1.72	5	0
11/02/2015 00:55	1.39	.93	1.33	2.75	2.49	1.78	5	0
11/02/2015 01:00	1.42	.98	1.37	2.79	2.53	1.82	5	0
11/02/2015 01:05	1.29	.82	1.24	2.64	2.38	1.68	5	0
11/02/2015 01:10	1.22	.73	1.17	2.55	2.31	1.6	5	0
11/02/2015 01:15	1.19	.7	1.14	2.52	2.27	1.56	5	0
11/02/2015 01:20	1.24	.76	1.19	2.57	2.33	1.62	5	0
11/02/2015 01:25	1.02	.49	.97	2.33	2.08	1.38	5	0
11/02/2015 01:30	.86	2.16	.82	2.15	1.91	1.58	5	0
11/02/2015 01:35	1.11	.61	1.06	2.43	2.19	1.48	5	0
11/02/2015 01:40	1.2	.71	1.15	2.54	2.28	1.58	5	0
11/02/2015 01:45	1.11	1.22	1.06	2.43	2.18	1.6	5	0
11/02/2015 01:50	1.02	1.09	.98	2.34	2.09	1.5	5	0
11/02/2015 01:55	1.05	.54	1.01	2.36	2.13	1.42	5	0
11/02/2015 02:00	.93	.93	.89	2.23	1.99	1.4	5	0
11/02/2015 02:05	1.25	.77	1.2	2.59	2.34	1.63	5	0
11/02/2015 02:10	.74	.75	.7	2.01	1.78	1.2	5	0
11/02/2015 02:15	1.01	1.05	.96	2.31	2.07	1.48	5	0
11/02/2015 02:20	1.06	.55	1.02	2.38	2.14	1.43	5	0
11/02/2015 02:25	1.05	.54	1.01	2.37	2.12	1.42	5	0
11/02/2015 02:30	1.01	.49	.97	2.32	2.08	1.37	5	0
11/02/2015 02:35	.8	2.1	.77	2.08	1.85	1.52	5	0
11/02/2015 02:40	.8	.8	.76	2.09	1.85	1.26	5	0
11/02/2015 02:45	.83	2.12	.79	2.11	1.88	1.54	5	0
11/02/2015 02:50	.74	2.05	.7	2.01	1.78	1.45	5	0
11/02/2015 02:55	.89	.8	.85	2.18	1.95	1.33	5	0
11/02/2015 03:00	.97	.97	.92	2.27	2.03	1.43	5	0
11/02/2015 03:05	1.11	.6	1.06	2.43	2.18	1.48	5	0
11/02/2015 03:10	.78	2.08	.74	2.05	1.82	1.5	5	0
11/02/2015 03:15	1.24	.76	1.19	2.58	2.33	1.62	5	0
11/02/2015 03:20	.94	.86	.89	2.24	2	1.38	5	0
11/02/2015 03:25	.99	1.09	.95	2.3	2.05	1.48	5	0
11/02/2015 03:30	.99	1.01	.95	2.3	2.06	1.46	5	0
11/02/2015 03:35	.84	.72	.8	2.13	1.89	1.28	5	0
11/02/2015 03:40	1.12	.62	1.08	2.45	2.2	1.49	5	0
11/02/2015 03:45	1.35	.89	1.29	2.7	2.45	1.74	5	0
11/02/2015 03:50	.98	.91	.94	2.28	2.04	1.43	5	0
11/02/2015 03:55	1.72	1.33	1.65	3.13	2.85	2.14	5	0
11/02/2015 04:00	1.14	.64	1.09	2.46	2.22	1.51	5	0
11/02/2015 04:05	1.35	.89	1.29	2.7	2.45	1.74	5	0
11/02/2015 04:10	1.57	1.15	1.51	2.95	2.69	1.97	5	0
11/02/2015 04:15	1.63	1.23	1.57	3.03	2.75	2.04	5	0
11/02/2015 04:20	1.69	1.29	1.63	3.09	2.82	2.1	5	0
11/02/2015 04:25	1.78	1.4	1.71	3.2	2.92	2.2	5	0
11/02/2015 04:30	1.93	1.58	1.86	3.36	3.08	2.36	5	0
11/02/2015 04:35	2.33	2.06	2.25	3.82	3.52	2.8	5	0
11/02/2015 04:40	2.57	2.34	2.48	4.08	3.78	3.05	5	0
11/02/2015 04:45	3.23	3.12	3.12	4.84	4.5	3.76	5	0
11/02/2015 04:50	2.82	2.64	2.73	4.38	4.06	3.32	5	0
11/02/2015 04:55	3.28	3.19	3.17	4.89	4.56	3.82	5	0
11/02/2015 05:00	2.77	2.58	2.68	4.32	4	3.27	5	0
11/02/2015 05:05	3.34	3.25	3.22	4.96	4.61	3.88	5	0
11/02/2015 05:10	3.73	3.72	3.61	5.4	5.05	4.3	5	0
11/02/2015 05:15	3.8	3.79	3.67	5.47	5.12	4.37	5	0
11/02/2015 05:20	4.85	5.05	4.69	6.67	6.27	5.51	5	0
11/02/2015 05:25	5.75	6.12	5.57	7.68	7.26	6.47	5	0
11/02/2015 05:30	5.2	5.46	5.04	7.06	6.66	5.88	5	0
11/02/2015 05:35	5.88	6.28	5.7	7.84	7.4	6.62	5	0
11/02/2015 05:40	6.98	7.57	6.76	9.06	8.6	7.8	5	0
11/02/2015 05:45	7.1	7.72	6.88	9.21	8.74	7.93	5	0
11/02/2015 05:50	6.36	6.84	6.16	8.38	7.92	7.13	5	0
11/02/2015 05:55	5.87	6.26	5.69	7.82	7.39	6.61	5	0
11/02/2015 06:00	6.66	7.2	6.45	8.71	8.26	7.46	5	0
11/02/2015 06:05	7.03	7.64	6.82	9.13	8.66	7.86	5	0
11/02/2015 06:10	7.09	7.71	6.87	9.21	8.71	7.92	5	0
11/02/2015 06:15	6.6	7.13	6.4	8.65	8.19	7.39	5	0
11/02/2015 06:20	6.19	6.64	6	8.2	7.74	6.95	5	0
11/02/2015 06:25	6.67	7.21	6.46	8.72	8.26	7.46	5	0
11/02/2015 06:30	7.33	7.99	7.1	9.47	8.98	8.17	5	0
11/02/2015 06:35	6.46	6.96	6.26	8.49	8.03	7.24	5	0
11/02/2015 06:40	8.01	8.8	7.77	10.24	9.73	8.91	5	0
11/02/2015 06:45	7.73	8.46	7.49	9.92	9.42	8.6	5	0
11/02/2015 06:50	7.4	8.07	7.17	9.56	9.05	8.25	5	0
11/02/2015 06:55	7.58	8.29	7.34	9.76	9.25	8.44	5	0
11/02/2015 07:00	7.42	8.1	7.19	9.58	9.09	8.28	5	0
11/02/2015 07:05	8.41	9.28	8.15	10.7	10.16	9.34	5	0
11/02/2015 07:10	9.43	10.49	9.14	11.85	11.28	10.44	5	0
11/02/2015 07:15	7.22	7.86	6.99	9.34	8.86	8.05	5	0
11/02/2015 07:20	9.08	10.07	8.8	11.45	10.89	10.06	5	0
11/02/2015 07:25	9.92	11.06	9.61	12.41	11.8	10.96	5	0
11/02/2015 07:30	10.47	11.72	10.15	13.03	12.41	11.56	5	0
11/02/2015 07:35	9.99	11.15	9.68	12.5	11.88	11.04	5	0
11/02/2015 07:40	10.28	11.5	9.97	12.82	12.2	11.35	5	0
11/02/2015 07:45	9.88	11.02	9.57	12.35	11.76	10.92	5	0
11/02/2015 07:50	9.16	10.16	8.87	11.55	10.97	10.14	5	0
11/02/2015 07:55	9.85	10.99	9.55	12.34	11.73	10.89	5	0
11/02/2015 08:00	10.53	11.79	10.21	13.11	12.47	11.62	5	0
