5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Lane 5 Occ (%)	Lane 6 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/09/2015 00:00	9.9	3.33	2.59	1.44	.84	0	3.02	6	100
11/09/2015 00:05	17.76	3.49	3.31	2.22	.86	.26	4.65	6	100
11/09/2015 00:10	8.74	3.48	2.12	1.42	1.65	.1	2.92	6	100
11/09/2015 00:15	9.63	3.61	2.66	1.72	1.18	0	3.13	6	100
11/09/2015 00:20	9.87	4.27	2.29	2.18	.15	.21	3.16	6	100
11/09/2015 00:25	9.24	4.33	2.76	1.75	.75	.13	3.16	6	100
11/09/2015 00:30	9.17	3.48	2.68	1.14	1.39	0	2.98	6	100
11/09/2015 00:35	9.04	3.86	2.61	2.08	.52	.37	3.08	6	100
11/09/2015 00:40	9.67	3.12	2.19	1.35	.2	0	2.76	6	100
11/09/2015 00:45	8.05	2.93	1.83	.93	.25	.31	2.38	6	100
11/09/2015 00:50	8.02	3.46	2.12	1.99	.94	.51	2.84	6	100
11/09/2015 00:55	7.25	3.57	1.97	1.03	.36	0	2.36	6	100
11/09/2015 01:00	.98	1.08	1.13	1.13	.98	.69	1	6	0
11/09/2015 01:05	.98	1.08	1.13	1.13	.98	.69	1	6	0
11/09/2015 01:10	.99	1.1	1.14	1.14	.99	.69	1.01	6	0
11/09/2015 01:15	7.46	2.56	1.4	1.06	.36	0	2.14	6	100
11/09/2015 01:20	7.69	3.14	1.29	.65	.41	.2	2.23	6	100
11/09/2015 01:25	6.99	1.89	1.82	1.29	.38	0	2.06	6	100
11/09/2015 01:30	6.67	2.09	.67	.89	.78	.1	1.87	6	100
11/09/2015 01:35	7.89	2.23	1.28	2.08	1.96	.3	2.62	6	100
11/09/2015 01:40	6.71	2.48	1.95	.6	0	0	1.96	6	100
11/09/2015 01:45	7.17	2.06	1.26	1.07	0	0	1.93	6	100
11/09/2015 01:50	7.83	2.81	1.3	1.47	1.23	0	2.44	6	100
11/09/2015 01:55	7.17	2.9	1.63	.63	1.01	.1	2.24	6	100
11/09/2015 02:00	7.14	1.92	1.32	3.48	.31	0	2.36	6	100
11/09/2015 02:05	8.44	2.05	1.18	2.17	1.16	.52	2.59	6	100
11/09/2015 02:10	7.18	1.55	.97	1.6	.24	0	1.92	6	100
11/09/2015 02:15	8.43	2.13	1.68	1.59	.14	0	2.33	6	100
11/09/2015 02:20	8.5	1.52	2.24	.86	.87	.45	2.41	6	100
11/09/2015 02:25	5.81	1.81	1.83	.44	1.13	0	1.84	6	100
11/09/2015 02:30	7.6	1.91	.86	.7	.69	0	1.96	6	100
11/09/2015 02:35	7.32	3.44	1.63	1.99	.13	.16	2.44	6	100
11/09/2015 02:40	7.45	2.26	.94	1.36	.76	.17	2.16	6	100
11/09/2015 02:45	6.59	2.63	1.34	.75	.13	.14	1.93	6	100
11/09/2015 02:50	8.19	2.45	2.55	1.43	0	0	2.44	6	100
11/09/2015 02:55	6.96	1.85	2.15	1.83	1.09	0	2.31	6	100
11/09/2015 03:00	9.1	2.67	1.47	1.15	1.53	.63	2.76	6	100
11/09/2015 03:05	7.36	1.74	1.28	1.08	1.19	.21	2.14	6	100
11/09/2015 03:10	7.48	3.32	2.56	.24	.13	0	2.29	6	100
11/09/2015 03:15	8.38	2.91	.97	.76	.7	0	2.29	6	100
11/09/2015 03:20	7.67	3.49	2.4	.68	1.54	.38	2.69	6	100
11/09/2015 03:25	8.94	3.84	2.69	.78	.11	.32	2.78	6	100
11/09/2015 03:30	8.42	3.9	2.38	1.17	.46	.14	2.75	6	100
11/09/2015 03:35	7.69	2.72	2.21	3.08	1.25	.07	2.84	6	100
11/09/2015 03:40	8.17	3.27	1.9	3.1	1.54	0	3	6	100
11/09/2015 03:45	9.06	4.62	2.72	1.9	2.57	.75	3.6	6	100
11/09/2015 03:50	10.4	5.19	2.73	3.29	1.13	.2	3.82	6	100
11/09/2015 03:55	9.98	4.33	1.91	1.41	1.48	0	3.19	6	100
11/09/2015 04:00	9.35	4.8	2.33	2.63	1.61	0	3.45	6	100
11/09/2015 04:05	10.96	4.57	3.7	4.37	2.9	.63	4.52	6	100
11/09/2015 04:10	9.76	5.13	4.18	3.37	1.74	.07	4.04	6	100
11/09/2015 04:15	11.2	5.41	4.08	2.71	1.6	.29	4.21	6	100
11/09/2015 04:20	12.14	6.06	4.49	3.83	1.43	.25	4.7	6	100
11/09/2015 04:25	12.8	7.6	5.93	3.75	1.61	.19	5.31	6	100
11/09/2015 04:30	13.59	7.54	5.83	3.42	1.71	0	5.35	6	100
11/09/2015 04:35	14.81	8.03	5.41	4.56	3.29	1.02	6.19	6	100
11/09/2015 04:40	16.55	9.51	8.04	5.01	2.22	.25	6.93	6	100
11/09/2015 04:45	15.06	9.02	6.34	4.6	3.4	.54	6.49	6	100
11/09/2015 04:50	15.08	9.45	6.6	5.82	4.35	.47	6.96	6	100
11/09/2015 04:55	18.09	10.82	7.15	5.37	3.96	.66	7.67	6	100
11/09/2015 05:00	18.37	9.69	7.21	5.48	4.1	.63	7.58	6	100
11/09/2015 05:05	19.25	11.33	8.64	6.58	4.36	.45	8.43	6	100
11/09/2015 05:10	22.34	14.52	11.17	8.66	4.37	.17	10.2	6	100
11/09/2015 05:15	24.3	17.48	11.19	11.45	7.01	1.22	12.11	6	100
11/09/2015 05:20	35.27	16.52	13.89	9.12	6.85	.89	13.76	6	100
11/09/2015 05:25	23.86	17.24	15.01	14.2	12.94	1.75	14.17	6	100
11/09/2015 05:30	28.66	21.67	19.59	16.54	13.65	1.88	17	6	100
11/09/2015 05:35	30.28	23.05	22.33	19.48	15.17	3.16	18.91	6	100
11/09/2015 05:40	29.73	24.22	21.05	16.44	15.21	2.37	18.17	6	100
11/09/2015 05:45	25.48	20.79	20.06	19.58	21.42	2.91	18.37	6	100
11/09/2015 05:50	32.29	24.75	22.07	21.81	26.21	4.6	21.96	6	100
11/09/2015 05:55	39.62	33.38	28.18	27.94	26	4.59	26.62	6	100
11/09/2015 06:00	42.92	31.6	35.59	31.17	24.34	9.15	29.13	6	100
11/09/2015 06:05	37.89	33.25	33.68	31.57	28.33	9.89	29.1	6	100
11/09/2015 06:10	42.17	33.78	31.64	30.39	24.67	11.33	29	6	100
11/09/2015 06:15	37.23	35.59	35.39	32.63	30.41	15.67	31.15	6	100
11/09/2015 06:20	37.48	34.61	39.75	39.09	32.41	19.76	33.85	6	100
11/09/2015 06:25	33.95	32.44	32.87	37.69	32.12	17.31	31.06	6	100
11/09/2015 06:30	31.44	29.63	32.4	32.47	33.32	19.41	29.78	6	100
11/09/2015 06:35	39.02	37.07	36.73	39.49	40.77	22.66	35.96	6	100
11/09/2015 06:40	41.36	34.9	39.84	42.81	44.19	29.76	38.81	6	100
11/09/2015 06:45	35.86	38.53	36.67	41.36	44	27.67	37.35	6	100
11/09/2015 06:50	43.68	34.34	38.51	39.05	33.18	18.96	34.62	6	100
11/09/2015 06:55	38.85	32.2	36.86	38.09	47.71	41.44	39.19	6	100
11/09/2015 07:00	43.48	39.07	40.8	47.26	50.34	24.96	40.99	6	100
11/09/2015 07:05	41.51	38.62	34.56	48.12	46.24	34.88	40.66	6	100
11/09/2015 07:10	51.37	43.27	47.74	52.51	56.45	52.88	50.7	6	100
11/09/2015 07:15	38.58	37.36	38.32	37.73	45.25	25.25	37.08	6	100
11/09/2015 07:20	40.79	39.13	40.71	42.83	46.14	20.91	38.42	6	100
