5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Lane 4 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/09/2015 00:00	1.71	2.65	3.91	1.6	2.47	4	100
11/09/2015 00:05	1.8	3.06	1.18	1.45	1.87	4	100
11/09/2015 00:10	1.59	2.47	2.1	2.08	2.06	4	100
11/09/2015 00:15	1.4	2.19	3.14	2.92	2.41	4	100
11/09/2015 00:20	1.43	2.83	2.59	2.86	2.43	4	100
11/09/2015 00:25	1.27	3.08	2.69	1.9	2.23	4	100
11/09/2015 00:30	.97	1.72	1.89	1.18	1.44	4	100
11/09/2015 00:35	1.43	2.72	2.67	1.18	2	4	100
11/09/2015 00:40	.89	1.98	2.34	1.17	1.6	4	100
11/09/2015 00:45	.85	1.81	2.01	1.4	1.52	4	100
11/09/2015 00:50	1.09	2.81	3.72	1.56	2.29	4	100
11/09/2015 00:55	1.04	1.89	2	1.79	1.68	4	100
11/09/2015 01:00	.67	1.41	1.53	1.12	1.18	4	100
11/09/2015 01:05	.62	1.62	1.72	1.85	1.45	4	100
11/09/2015 01:10	.85	1.61	1.53	1.1	1.27	4	100
11/09/2015 01:15	.68	1.9	2	1.59	1.54	4	100
11/09/2015 01:20	.7	1.58	1.71	4.19	2.05	4	100
11/09/2015 01:25	.69	1.53	1.21	1.95	1.35	4	100
11/09/2015 01:30	.97	1.56	2.34	1.46	1.58	4	100
11/09/2015 01:35	.48	1.11	2.42	1.68	1.42	4	100
11/09/2015 01:40	.33	1.02	.97	1.31	.91	4	100
11/09/2015 01:45	.36	1.21	1.44	.82	.96	4	100
11/09/2015 01:50	.66	1.85	1.01	1.71	1.31	4	100
11/09/2015 01:55	.73	1.79	3.11	1.05	1.67	4	100
11/09/2015 02:00	.27	.95	1.53	1.22	.99	4	100
11/09/2015 02:05	.4	1.45	2.36	1.48	1.42	4	100
11/09/2015 02:10	.66	1.06	.89	1.56	1.04	4	100
11/09/2015 02:15	.59	1.35	2	1.68	1.4	4	100
11/09/2015 02:20	.41	1.37	1.16	1.6	1.13	4	100
11/09/2015 02:25	.27	1.28	1.43	.5	.87	4	100
11/09/2015 02:30	1	1.37	1.63	1.28	1.32	4	100
11/09/2015 02:35	.42	1.17	1.79	1.07	1.11	4	100
11/09/2015 02:40	.86	1.53	1.8	1.5	1.42	4	100
11/09/2015 02:45	.48	2.1	2.53	1.82	1.73	4	100
11/09/2015 02:50	.57	1.08	2.62	2.16	1.61	4	100
11/09/2015 02:55	1.11	1.13	1.39	2.03	1.41	4	100
11/09/2015 03:00	1.06	1.63	2.03	2.51	1.81	4	100
11/09/2015 03:05	.73	1.46	.8	1.3	1.07	4	100
11/09/2015 03:10	.98	1.69	1.59	1.39	1.41	4	100
11/09/2015 03:15	1.35	1.93	2.1	2.06	1.86	4	100
11/09/2015 03:20	1.55	2.17	2	1.9	1.91	4	100
11/09/2015 03:25	1.76	2.88	2.66	1.38	2.17	4	100
11/09/2015 03:30	1.58	3.14	3.24	3.07	2.76	4	100
11/09/2015 03:35	1.09	2.49	2.11	2.84	2.13	4	100
11/09/2015 03:40	2.48	3.56	3.19	2.41	2.91	4	100
11/09/2015 03:45	2.08	3.58	2.35	2.21	2.56	4	100
11/09/2015 03:50	1.81	3.12	3.21	3.24	2.84	4	100
11/09/2015 03:55	2.01	4.31	3.25	2.56	3.03	4	100
11/09/2015 04:00	2.8	4.1	4.33	2.79	3.51	4	100
11/09/2015 04:05	4.24	4.66	5.03	4.34	4.57	4	100
11/09/2015 04:10	2.49	3.43	3.83	4.68	3.61	4	100
11/09/2015 04:15	4.06	5.02	4.08	3.8	4.24	4	100
11/09/2015 04:20	4.43	5.28	4.4	3.28	4.35	4	100
11/09/2015 04:25	6.02	6.46	4.86	4.5	5.46	4	100
11/09/2015 04:30	6.8	7.66	6.33	5.25	6.51	4	100
11/09/2015 04:35	7.23	7.27	4.91	6.3	6.43	4	100
11/09/2015 04:40	8	6.59	5.77	7.42	6.94	4	100
11/09/2015 04:45	7.7	8.32	5.89	6.25	7.04	4	100
11/09/2015 04:50	8.47	7.72	7.13	7.08	7.6	4	100
11/09/2015 04:55	10.03	8.9	7.93	6.42	8.32	4	100
11/09/2015 05:00	10.79	10.41	7.37	7.03	8.9	4	100
11/09/2015 05:05	11.07	8.86	7.82	7.09	8.71	4	100
11/09/2015 05:10	15.98	14.67	11.73	10.16	13.13	4	100
11/09/2015 05:15	14.78	16.62	11.75	10.06	13.3	4	100
11/09/2015 05:20	17.63	16.35	12.73	10.86	14.39	4	100
11/09/2015 05:25	17.77	19.1	16.28	11.01	16.04	4	100
11/09/2015 05:30	28.79	33.49	22.2	17.78	25.56	4	100
11/09/2015 05:35	30.85	34.16	25.9	18.11	27.26	4	100
11/09/2015 05:40	35.7	44.17	31.92	19.08	32.72	4	100
11/09/2015 05:45	36.66	43.12	35.8	18.7	33.57	4	100
11/09/2015 05:50	45.32	53.76	59.32	23.42	45.45	4	100
11/09/2015 05:55	37.5	47.5	68.65	18.47	43.03	4	100
11/09/2015 06:00	52.97	53.83	57.37	18.9	45.77	4	100
11/09/2015 06:05	51.17	58.33	59.79	22.31	47.9	4	100
11/09/2015 06:10	46.84	57.38	78.02	18.5	50.19	4	100
11/09/2015 06:15	48.73	56.9	74.71	16.77	49.28	4	100
11/09/2015 06:20	53.64	56.27	56.04	26.79	48.19	4	100
11/09/2015 06:25	58.38	76.79	80.17	29.11	61.11	4	100
11/09/2015 06:30	53.83	56.67	67.89	28.49	51.72	4	100
11/09/2015 06:35	60.63	63.33	67.72	23.3	53.74	4	100
11/09/2015 06:40	52.83	66.38	69.16	25.44	53.45	4	100
11/09/2015 06:45	55.71	75.47	76.22	31.18	59.64	4	100
11/09/2015 06:50	64.3	75.46	86.43	30.16	64.09	4	100
11/09/2015 06:55	51.71	70.26	77.01	33.59	58.14	4	100
11/09/2015 07:00	59.18	70.08	81.17	18.96	57.35	4	100
11/09/2015 07:05	51.74	74.16	80.88	39.95	61.68	4	100
11/09/2015 07:10	61.22	74.35	88.51	31.31	63.85	4	100
11/09/2015 07:15	58.63	66.4	88.67	39.67	63.34	4	100
11/09/2015 07:20	64.2	81.67	86.46	21.21	63.38	4	100
11/09/2015 07:25	57.41	68.02	62.42	24.99	53.21	4	100
11/09/2015 07:30	59.84	76.96	76.83	48.58	65.55	4	100
11/09/2015 07:35	64.03	66.46	78.42	20.74	57.41	4	100
11/09/2015 07:40	65.56	74.81	83.95	39.83	66.04	4	100
11/09/2015 07:45	62.09	80.88	82.09	41.91	66.74	4	100
11/09/2015 07:50	63.83	68.29	81.74	34.41	62.07	4	100
11/09/2015 07:55	69.58	78.42	76.2	40.27	66.12	4	100
11/09/2015 08:00	71.58	72.5	70.57	43.43	64.52	4	100
11/09/2015 08:05	65.32	74.5	90.06	48.94	69.7	4	100
11/09/2015 08:10	58.95	68.32	72.62	21.58	55.37	4	100
11/09/2015 08:15	69.05	75.83	77.54	30.18	63.15	4	100
11/09/2015 08:20	64.18	71.42	80	44.16	64.94	4	100
11/09/2015 08:25	64.18	69.08	69.9	32.17	58.83	4	100
11/09/2015 08:30	68.31	73.1	86.58	26.77	63.69	4	100
11/09/2015 08:35	67.93	78.89	86.94	36.6	67.59	4	100
11/09/2015 08:40	63.09	71.61	78.58	44.34	64.41	4	100
11/09/2015 08:45	64.72	72.47	79.71	25.74	60.66	4	100
11/09/2015 08:50	64.13	65.12	87.07	50.92	66.81	4	100
11/09/2015 08:55	65.78	75.56	79.39	46.58	66.83	4	100
11/09/2015 09:00	54.12	65.52	73.75	52.82	61.55	4	100
11/09/2015 09:05	58.68	68.21	79.17	50.96	64.25	4	100
11/09/2015 09:10	57.41	75.99	83.42	48.48	66.33	4	100
11/09/2015 09:15	65.18	69.18	81.24	21.4	59.25	4	100
11/09/2015 09:20	72.51	84.83	79.05	51.79	72.05	4	100
11/09/2015 09:25	71.9	75.09	88.38	51.5	71.72	4	100
11/09/2015 09:30	64.06	67.26	78.22	28.43	59.49	4	100
11/09/2015 09:35	60.58	61.43	68.11	21.24	52.84	4	100
11/09/2015 09:40	55.44	67.5	31.58	19.31	43.46	4	100
11/09/2015 09:45	58.52	61.71	42.79	18.57	45.4	4	100
11/09/2015 09:50	56.45	61.24	63.53	26.71	51.98	4	100
11/09/2015 09:55	44.42	60.58	57.81	31.89	48.67	4	100
11/09/2015 10:00	54.58	62.58	67.89	25.93	52.74	4	100
11/09/2015 10:05	60.55	75.64	81.16	30.48	61.96	4	100
11/09/2015 10:10	57.3	57.65	44.17	22.64	45.44	4	100
11/09/2015 10:15	55.36	51.43	49.19	26.62	45.65	4	100
11/09/2015 10:20	57.49	49.31	31.59	20.85	39.81	4	100
11/09/2015 10:25	57.14	49.52	47.31	31.52	46.37	4	100
11/09/2015 10:30	59.49	41.72	43.07	25.8	42.52	4	100
11/09/2015 10:35	47.43	34.67	25.2	23.73	32.76	4	100
11/09/2015 10:40	25.26	17.35	16.31	18.87	19.45	4	100
11/09/2015 10:45	8.28	8.34	11.55	14.45	10.66	4	100
11/09/2015 10:50	8.13	7.8	11.42	12.73	10.02	4	100
11/09/2015 10:55	7.69	10.5	13.35	12.11	10.91	4	100
