5 Minutes	Lane 1 Occ (%)	Lane 2 Occ (%)	Lane 3 Occ (%)	Occupancy (%)	# Lane Points	% Observed
11/02/2015 00:00	2.71	2.72	2.18	2.54	3	100
11/02/2015 00:05	2.98	3.01	2.11	2.7	3	100
11/02/2015 00:10	2.04	3.49	1.75	2.43	3	100
11/02/2015 00:15	1.58	2.64	1.73	1.98	3	100
11/02/2015 00:20	1.82	3.23	2.15	2.4	3	100
11/02/2015 00:25	2.01	2.98	1.89	2.29	3	100
11/02/2015 00:30	1.69	2.71	1.87	2.09	3	100
11/02/2015 00:35	1.1	1.63	1.32	1.35	3	100
11/02/2015 00:40	1.3	1.95	1	1.42	3	100
11/02/2015 00:45	1.5	2.27	1.74	1.84	3	100
11/02/2015 00:50	1.33	2.17	2.43	1.98	3	100
11/02/2015 00:55	1.33	2.26	1.45	1.68	3	100
11/02/2015 01:00	1.01	1.07	.62	.9	3	100
11/02/2015 01:05	1.38	2.34	1.47	1.73	3	100
11/02/2015 01:10	1.01	1.33	1.18	1.17	3	100
11/02/2015 01:15	1.03	1.93	1.39	1.45	3	100
11/02/2015 01:20	.51	1.41	1.22	1.05	3	100
11/02/2015 01:25	.71	1.03	2.13	1.29	3	100
11/02/2015 01:30	.91	1.5	1.52	1.31	3	100
11/02/2015 01:35	1.29	1.62	1.59	1.5	3	100
11/02/2015 01:40	.48	1.01	1.11	.87	3	100
11/02/2015 01:45	1.02	.84	.98	.95	3	100
11/02/2015 01:50	.57	1.19	.91	.89	3	100
11/02/2015 01:55	.48	.82	.87	.72	3	100
11/02/2015 02:00	.4	1.36	1.18	.98	3	100
11/02/2015 02:05	.39	.66	.92	.66	3	100
11/02/2015 02:10	.68	.87	1.52	1.02	3	100
11/02/2015 02:15	.33	1.22	1.39	.98	3	100
11/02/2015 02:20	.58	1.21	1.66	1.15	3	100
11/02/2015 02:25	.59	.88	.73	.73	3	100
11/02/2015 02:30	.59	.83	1.12	.85	3	100
11/02/2015 02:35	.87	1.2	1.76	1.28	3	100
11/02/2015 02:40	.31	1.34	2	1.22	3	100
11/02/2015 02:45	.38	1.19	.61	.73	3	100
11/02/2015 02:50	.51	1.01	.88	.8	3	100
11/02/2015 02:55	.35	1.3	1.57	1.07	3	100
11/02/2015 03:00	.67	.64	1.24	.85	3	100
11/02/2015 03:05	.53	1.06	.88	.82	3	100
11/02/2015 03:10	.3	.72	1.31	.78	3	100
11/02/2015 03:15	.73	1.03	.83	.86	3	100
