5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Lane 5 Speed (mph)	Lane 6 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	76.5	74	72	69.2	64.5	64.5	70.9	6	0
11/02/2015 00:05	75.8	74.5	69.6	62.7	64.5	64.6	69	6	0
11/02/2015 00:10	76.2	73.9	71.8	65.9	63.7	64.4	69.8	6	0
11/02/2015 00:15	75.3	74	69.1	68.7	64.4	64.4	70.2	6	0
11/02/2015 00:20	75.8	73.7	72.6	68.6	64.5	64.3	70.6	6	0
11/02/2015 00:25	76.6	74.5	74.5	69.9	63.3	64.4	71.6	6	0
11/02/2015 00:30	76.3	73.7	72.9	67.8	64.2	64.2	71.3	6	0
11/02/2015 00:35	76.3	73.6	73.3	71.3	63.3	64.4	71.8	6	0
11/02/2015 00:40	76	73	72.3	73	64.3	64.4	71.7	6	0
11/02/2015 00:45	76.7	73.4	70.8	71.7	64.6	64.4	71.9	6	0
11/02/2015 00:50	76.4	72.9	71.3	71.3	64.3	64.2	71.4	6	0
11/02/2015 00:55	76.4	73.6	70.2	67.8	64.7	64.3	70.2	6	0
11/02/2015 01:00	75.4	72.9	71	68.2	63.6	63.6	69.5	6	0
11/02/2015 01:05	75.5	73	71.1	68.3	63.7	63.7	69.6	6	0
11/02/2015 01:10	76.5	74	72	69.2	64.5	64.5	71.7	6	0
11/02/2015 01:15	76.5	74	72	69.2	64.5	64.5	71.3	6	0
11/02/2015 01:20	76.5	73.8	71.9	66.7	64.5	64.6	70	6	0
11/02/2015 01:25	76.4	74	72.2	70.3	64.6	64.6	71.6	6	0
11/02/2015 01:30	76.6	73.8	69.9	71.5	64.6	64.3	71.3	6	0
11/02/2015 01:35	76.7	73.7	70.2	70.3	63.7	64.4	71.3	6	0
11/02/2015 01:40	76.5	73.7	70.3	70.3	63.8	64.3	70.9	6	0
11/02/2015 01:45	76.2	73.5	70.8	69.4	63.3	64.3	70.2	6	0
11/02/2015 01:50	76.2	74	70.7	67.2	64	64.5	70.4	6	0
11/02/2015 01:55	76.2	74	71.1	68.6	64.3	64.2	70.2	6	0
11/02/2015 02:00	76.2	73.9	71.3	70.3	64.3	64.3	71.1	6	0
11/02/2015 02:05	76.3	73.7	70.8	67.7	64.4	64.2	70.1	6	0
11/02/2015 02:10	76.4	73.8	71	68.4	64.6	64.4	70.5	6	0
11/02/2015 02:15	76.5	73.8	71.3	70.1	64.8	64.5	70.5	6	0
11/02/2015 02:20	76.3	73.8	71.4	70	64.8	64.3	70.4	6	0
11/02/2015 02:25	76.3	73.6	71.4	70.2	64.6	64.3	71.4	6	0
11/02/2015 02:30	76.4	73.8	72.1	69.3	64.7	64.2	71.1	6	0
