5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Lane 4 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/09/2015 00:00	74.8	71	67.4	62.8	69.6	4	100
11/09/2015 00:05	73.4	75.1	66.1	63.4	71.3	4	100
11/09/2015 00:10	74.6	71.6	64.7	62.9	68.8	4	100
11/09/2015 00:15	69	66.8	65.4	62.1	66.4	4	100
11/09/2015 00:20	62.7	71.7	66.9	62.3	66.8	4	100
11/09/2015 00:25	66.7	73.8	66.2	62.7	68.4	4	100
11/09/2015 00:30	70.7	74.3	66.7	63.2	69.9	4	100
11/09/2015 00:35	72.9	74.3	67.5	62.7	70.2	4	100
11/09/2015 00:40	74.5	68.8	66.9	62.2	69.4	4	100
11/09/2015 00:45	62.6	71.2	68.4	61.9	66.4	4	100
11/09/2015 00:50	69	58.8	67.5	62.7	64.2	4	100
11/09/2015 00:55	72.3	65.5	60.2	61.2	65.7	4	100
11/09/2015 01:00	74.9	71.1	67.5	62.9	69.1	4	0
11/09/2015 01:05	75	71.2	67.6	63	69.2	4	0
11/09/2015 01:10	75.3	71.5	67.9	63.3	69.5	4	0
11/09/2015 01:15	74.8	71	67.4	62.8	70	4	100
11/09/2015 01:20	75	71.8	66.3	63	69.8	4	100
11/09/2015 01:25	75.4	72.3	66.1	63.8	70	4	100
11/09/2015 01:30	75.3	72.1	67.2	62.4	69.8	4	100
11/09/2015 01:35	75.4	72	66.5	62.7	69.2	4	100
11/09/2015 01:40	75.4	72.6	64.5	63.4	68.7	4	100
11/09/2015 01:45	75.3	63.6	65.5	63.2	66.4	4	100
11/09/2015 01:50	75.3	67.6	66.6	63.8	68.6	4	100
11/09/2015 01:55	75.3	69.5	67	61.4	68.3	4	100
11/09/2015 02:00	75	71	67.5	60.5	68.7	4	100
11/09/2015 02:05	75.2	71.8	68.2	61.1	69.4	4	100
11/09/2015 02:10	74.9	72.1	66.7	58.2	67.5	4	100
11/09/2015 02:15	74.7	72	67.2	61.2	69.4	4	100
11/09/2015 02:20	74.9	55.4	62.7	61.8	60.6	4	100
11/09/2015 02:25	74.8	63.7	65.3	62.5	65.5	4	100
11/09/2015 02:30	74.8	67.5	66.7	61.4	67.2	4	100
11/09/2015 02:35	74.9	69.7	67.2	59.8	67.9	4	100
11/09/2015 02:40	74.7	68.4	66.3	63.5	67.5	4	100
