5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
11/02/2015 00:00	71.9	69.7	62.7	68.6	3	100
11/02/2015 00:05	71.1	68.3	62.1	68	3	100
11/02/2015 00:10	71.2	68.9	62.5	68.2	3	100
11/02/2015 00:15	71.5	69.8	63.1	68.5	3	100
11/02/2015 00:20	71.3	68.6	60.9	67.5	3	100
11/02/2015 00:25	71.5	67.4	60.6	67.3	3	100
11/02/2015 00:30	71.7	69	62.6	68	3	100
11/02/2015 00:35	71.9	69.5	62.2	68.3	3	100
11/02/2015 00:40	71.8	69.8	62.4	69	3	100
11/02/2015 00:45	71.6	69.6	62.4	68.2	3	100
11/02/2015 00:50	71.7	69.8	56.8	66.9	3	100
11/02/2015 00:55	71.3	70.1	60.1	67.7	3	100
11/02/2015 01:00	71.6	70	61.7	68.9	3	100
11/02/2015 01:05	72	69.6	62.5	68.6	3	100
11/02/2015 01:10	71.8	69.7	62.5	68.4	3	100
11/02/2015 01:15	71.8	69.6	62.1	68.4	3	100
11/02/2015 01:20	71.8	69.6	62.2	67.6	3	100
11/02/2015 01:25	71.7	69.8	61.1	66.3	3	100
11/02/2015 01:30	71.8	69.6	61.4	67.7	3	100
11/02/2015 01:35	71.5	69	61.3	67.7	3	100
11/02/2015 01:40	71.7	69.4	61.4	67.4	3	100
11/02/2015 01:45	71.8	69.5	62.7	68.1	3	100
11/02/2015 01:50	71.8	69.5	62.3	68.3	3	100
11/02/2015 01:55	71.9	69.6	62.8	67.7	3	100
11/02/2015 02:00	72	69.6	62.9	67.9	3	100
11/02/2015 02:05	71.9	69.4	62.9	67.4	3	100
11/02/2015 02:10	71.9	69.6	62.1	67.6	3	100
11/02/2015 02:15	72	69.4	61.6	67.2	3	100
11/02/2015 02:20	71.9	69.4	61.3	67	3	100
11/02/2015 02:25	71.9	69.4	62.1	68.3	3	100
11/02/2015 02:30	71.9	69.6	61.9	68	3	100
11/02/2015 02:35	72	69.5	60.5	67.6	3	100
11/02/2015 02:40	71.9	69.6	59.3	65.9	3	100
11/02/2015 02:45	72	69.3	61.6	67.8	3	100
11/02/2015 02:50	72	69.4	62.3	68	3	100
11/02/2015 02:55	72	69.5	63	67.2	3	100
11/02/2015 03:00	71.9	69.6	61.4	68.2	3	100
11/02/2015 03:05	72.1	68.8	61.8	68	3	100
11/02/2015 03:10	72	69.2	62	66.5	3	100
11/02/2015 03:15	71.9	69.3	62	68.7	3	100
11/02/2015 03:20	71.9	69.3	58	66	3	100
11/02/2015 03:25	71.9	69.4	60.2	66.3	3	100
11/02/2015 03:30	71.7	69.6	62.3	68.3	3	100
11/02/2015 03:35	71.7	69.7	57.8	66.7	3	100
11/02/2015 03:40	71.7	70	61.4	66.9	3	100
11/02/2015 03:45	71.7	69	60.7	66.9	3	100
11/02/2015 03:50	71.7	69.5	62	66.9	3	100
11/02/2015 03:55	71.8	69.5	63.4	67.9	3	100
11/02/2015 04:00	71.9	69.8	62.7	67.8	3	100
11/02/2015 04:05	71.9	69.9	61.8	68	3	100
11/02/2015 04:10	72	69.7	60	68.4	3	100
11/02/2015 04:15	72	69.3	61	67.6	3	100
11/02/2015 04:20	71.9	69.8	61.8	68.2	3	100
11/02/2015 04:25	71.9	70.2	62.9	69	3	100
11/02/2015 04:30	72.4	70.5	63	68.7	3	100
11/02/2015 04:35	72.6	70.2	63.8	68.9	3	100
11/02/2015 04:40	72.6	70.6	65	69.6	3	100
11/02/2015 04:45	72.9	70.8	64.1	69.6	3	100
11/02/2015 04:50	72.1	70.7	69.5	70.9	3	100
11/02/2015 04:55	72.3	71.2	57.8	68.1	3	100
11/02/2015 05:00	73.1	70	54.6	67.5	3	100
11/02/2015 05:05	72.9	68.3	56.9	66.6	3	100
11/02/2015 05:10	73.2	69.9	59.2	68.3	3	100
11/02/2015 05:15	73.6	70.1	59.7	68.9	3	100
11/02/2015 05:20	72.3	70.2	61.2	68.8	3	100
11/02/2015 05:25	72.4	70.1	65.9	70.1	3	100
11/02/2015 05:30	72.1	71.3	67.9	70.8	3	100
11/02/2015 05:35	72.7	71.2	65.2	70.4	3	100
11/02/2015 05:40	72.8	70.4	67.8	70.8	3	100
11/02/2015 05:45	71.9	70.1	64.4	69.5	3	100
11/02/2015 05:50	70.9	69.4	65.5	69.2	3	100
11/02/2015 05:55	71.8	69.8	66.1	69.8	3	100
11/02/2015 06:00	70.7	69.4	61.9	68.4	3	100
11/02/2015 06:05	70.8	70	60.7	68.5	3	100
11/02/2015 06:10	70.2	69	55.8	67.1	3	100
11/02/2015 06:15	69.6	68.1	57.6	66.5	3	100
11/02/2015 06:20	68.5	67.7	55.9	65.2	3	100
11/02/2015 06:25	69.8	69.4	52.9	65.6	3	100
11/02/2015 06:30	70	68.8	54.7	66.2	3	100
11/02/2015 06:35	70.4	69	57.7	66.8	3	100
11/02/2015 06:40	70.2	69.9	60.3	67.4	3	100
11/02/2015 06:45	68.5	67.4	58.4	65.6	3	100
11/02/2015 06:50	69.2	67.3	58.4	65.9	3	100
11/02/2015 06:55	70	67.6	59.3	66.3	3	100
11/02/2015 07:00	70.6	70	59.9	67.8	3	100
11/02/2015 07:05	70.6	69.2	59.2	67.1	3	100
11/02/2015 07:10	70.3	68.9	59.4	66.9	3	100
11/02/2015 07:15	69.9	68.3	61.9	67.3	3	100
11/02/2015 07:20	69.1	66.7	56.6	65	3	100
11/02/2015 07:25	52	55.3	49.4	52.3	3	100
11/02/2015 07:30	58.5	59.1	55.5	57.9	3	100
11/02/2015 07:35	63.1	61.9	57.7	61.3	3	100
11/02/2015 07:40	65.2	64.7	59.4	63.6	3	100
11/02/2015 07:45	67.4	67.1	61.6	65.8	3	100
11/02/2015 07:50	67.7	66.8	60.9	65.6	3	100
11/02/2015 07:55	67.7	67.3	62.6	66.3	3	100
11/02/2015 08:00	69.3	67.6	61.4	66.7	3	100
11/02/2015 08:05	68.2	66.6	58.1	65.2	3	100
11/02/2015 08:10	67.4	65.5	56.5	64	3	100
11/02/2015 08:15	64.9	63.1	55.6	62.2	3	100
11/02/2015 08:20	64.9	62.2	57.6	62	3	100
11/02/2015 08:25	64	61.8	56.2	61.4	3	100
11/02/2015 08:30	62.9	61.1	54.8	60.2	3	100
11/02/2015 08:35	61	58.3	53.2	57.9	3	100
11/02/2015 08:40	60	58.9	50.2	57.1	3	100
11/02/2015 08:45	58.4	58	51.2	56.4	3	100
11/02/2015 08:50	58.8	57	49.8	55.9	3	100
11/02/2015 08:55	62.9	60.2	53.4	59.5	3	100
11/02/2015 09:00	64.9	63.1	57.4	62.2	3	100
11/02/2015 09:05	67.1	64.4	55.8	63.2	3	100
11/02/2015 09:10	69.3	66.4	55.9	65.3	3	100
11/02/2015 09:15	69.5	66.3	54.5	64.6	3	100
11/02/2015 09:20	68.6	65.2	54.8	63.8	3	100
11/02/2015 09:25	69.3	66.7	58.3	65.7	3	100
11/02/2015 09:30	69.3	66.2	53.7	64.6	3	100
11/02/2015 09:35	70.7	67.7	58.6	66.4	3	100
11/02/2015 09:40	70.8	66.2	58.8	66.2	3	100
11/02/2015 09:45	70.2	67.3	56.7	65.9	3	100
11/02/2015 09:50	69.6	66.7	53.9	64.7	3	100
