Fwy	District	County	City	CA PM	Abs PM	Length	ID	Name	Lanes	Type	Sensor Type	HOV	MS ID	IRM
I405-S	12	Orange	Irvine	.6	.37	.455	1201118	N OF 5	5	Mainline	loops	No	2436	
I405-S	12	Orange	Irvine	.77	.54	.18	1201087	IRVINE C1	5	Mainline	loops	No	1414	
I405-S	12	Orange	Irvine	.96	.73	.4	1201112	IRVINE C2	4	Mainline	loops	No	1413	
I405-S	12	Orange	Irvine	1.57	1.34	.485	1209091	S OF 133	4	Mainline	loops	No	2474	
I405-S	12	Orange	Irvine	1.93	1.7	.39	1209161	N OF 133	4	Mainline	loops	No	2475	
I405-S	12	Orange	Irvine	2.35	2.12	.475	1209178	LAGUNA CANYON RD	5	Mainline	loops	No	2041	
I405-S	12	Orange	Irvine	2.88	2.65	.48	1201145	SAND CANYON	4	Mainline	loops	No	1560	
I405-S	12	Orange	Irvine	3.31	3.08	.48	1209189	N OF SAND CANYON	5	Mainline	loops	No	2040	
I405-S	12	Orange	Irvine	3.84	3.61	.36	1201171	JEFFREY 1	4	Mainline	loops	No	1410	
I405-S	12	Orange	Irvine	4.03	3.8	.585	1201197	JEFFREY 2	4	Mainline	loops	No	1409	
I405-S	12	Orange	Irvine	5.01	4.78	.51	1201217	YALE	4	Mainline	loops	No	2603	
I405-S	12	Orange	Irvine	5.05	4.82	.245	1209070	SPRUCE	4	Mainline	loops	No	2604	
I405-S	12	Orange	Irvine	5.5	5.27	.32	1201240	CULVER 1	4	Mainline	loops	No	1408	
I405-S	12	Orange	Irvine	5.69	5.46	.355	1201270	CULVER 2	4	Mainline	loops	No	1407	
I405-S	12	Orange	Irvine	6.21	5.98	.555	1201292	HARVARD	6	Mainline	loops	No	2602	
I405-S	12	Orange	Irvine	6.8	6.57	.4	1201315	JAMBOREE1	6	Mainline	loops	No	1406	
I405-S	12	Orange	Irvine	7.01	6.78	.445	1201350	JAMBOREE2	6	Mainline	loops	No	1405	
I405-S	12	Orange	Irvine	7.69	7.46	.625	1201382	MACARTHUR1	5	Mainline	loops	No	1404	
I405-S	12	Orange		8.26	8.03	.355	1201406	AIRPORT	6	Mainline	loops	No	2433	
I405-S	12	Orange		8.4	8.17	.32	1201419	RED HILL	5	Mainline	loops	No	2605	
I405-S	12	Orange		8.9	8.67	.4	1201410	N OF 55	4	Mainline	loops	No	2415	
I405-S	12	Orange		9.2	8.97	.32	1214209	AVE. OF ART	6	Mainline	loops	No	05027	
I405-S	12	Orange		9.54	9.31	.35	1201469	BRISTOL 1	5	Mainline	loops	No	1401	
I405-S	12	Orange	Costa Mesa	9.9	9.67	.37	1214081	BEAR	4	Mainline	loops	No	5026	
I405-S	12	Orange	Costa Mesa	10.28	10.05	.29	1201497	FAIRVIEW	5	Mainline	loops	No	1400	
I405-S	12	Orange	Costa Mesa	10.48	10.25	.46	1209217	N OF 73	5	Mainline	loops	No	2601	
I405-S	12	Orange	Costa Mesa	11.2	10.97	.51	1201525	HARBOR 1	6	Mainline	loops	No	1399	
I405-S	12	Orange	Costa Mesa	11.5	11.27	.48	1201558	HARBOR 2	5	Mainline	loops	No	1398	
I405-S	12	Orange	Costa Mesa	12.16	11.93	.5	1209241	HAMPSHIRE	6	Mainline	loops	No	5012	
I405-S	12	Orange	Fountain Valley	12.5	12.27	.5	1201589	EUCLID	5	Mainline	loops	No	1397	
I405-S	12	Orange	Fountain Valley	13.16	12.93	.4	1209261	WARD	5	Mainline	loops	No	5013	
I405-S	12	Orange	Fountain Valley	13.3	13.07	.325	1201620	TALBERT	5	Mainline	loops	No	1396	
